timestamp_hostname:perf102_ms,hostname:perf102,timestamp_hostname:perf104_ms,hostname:perf104
1459955955000,0.3988,1459955955000,2.0698
1459955956000,0.0604,1459955956000,2.04
1459955957000,0.16,1459955957000,2.1451
1459955958000,0.1451,1459955958000,2.2112
1459955959000,0.1952,1459955959000,2.198
1459955960000,0.1668,1459955960000,2.1805
1459955961000,0.176,1459955961000,2.1914
1459955962000,0.1853,1459955962000,2.1732
1459955963000,0.1765,1459955963000,2.1619
1459955964000,0.1662,1459955964000,2.1908
1459955965000,0.2055,1459955965000,2.1908
1459955966000,0.1566,1459955966000,2.1822
1459955967000,0.1557,1459955967000,2.1708
1459955968000,0.1658,1459955968000,2.1707
1459955969000,0.1959,1459955969000,2.1807
1459955970000,0.2051,1459955970000,2.1806
1459955971000,0.2078,1459955971000,2.1706
1459955972000,0.1448,1459955972000,2.1819
1459955973000,0.1767,1459955973000,2.1609
1459955974000,0.1454,1459955974000,2.1711
1459955975000,0.1953,1459955975000,2.1709
1459955976000,0.1867,1459955976000,2.1711
1459955977000,0.186,1459955977000,2.181
1459955978000,0.1661,1459955978000,2.1903
1459955979000,0.1859,1459955979000,2.1618
1459955980000,0.1858,1459955980000,2.1711
1459955981000,0.1767,1459955981000,2.1709
1459955982000,0.1958,1459955982000,2.2002
1459955983000,0.1765,1459955983000,2.1511
1459955984000,0.1959,1459955984000,2.161
1459955985000,0.1753,1459955985000,2.151
1459955986000,0.1558,1459955986000,2.1507
1459955987000,0.1667,1459955987000,2.1904
1459955988000,0.2161,1459955988000,2.1907
1459955989000,0.1666,1459955989000,2.1609
1459955990000,0.1562,1459955990000,2.1821
1459955991000,0.1859,1459955991000,2.1809
1459955992000,0.1661,1459955992000,2.1611
1459955993000,0.2153,1459955993000,2.131
1459955994000,0.1667,1459955994000,2.1907
1459955995000,0.1759,1459955995000,2.1606
1459955996000,0.1761,1459955996000,2.191
1459955997000,0.1759,1459955997000,2.1611
1459955998000,0.176,1459955998000,2.1809
1459955999000,0.2276,1459955999000,2.1511
1459956000000,0.1655,1459956000000,2.1701
1459956001000,0.2062,1459956001000,2.2146
1459956002000,0.1652,1459956002000,2.1509
1459956003000,0.1761,1459956003000,2.1909
1459956004000,0.1859,1459956004000,2.141
1459956005000,0.1562,1459956005000,2.1611
1459956006000,0.2272,1459956006000,2.1709
1459956007000,0.1755,1459956007000,2.1705
1459956008000,0.176,1459956008000,2.1512
1459956009000,0.1765,1459956009000,2.1603
1459956010000,0.1849,1459956010000,2.1505
1459956011000,0.2076,1459956011000,2.1513
1459956012000,0.1659,1459956012000,2.1607
1459956013000,0.1848,1459956013000,2.1709
1459956014000,0.1671,1459956014000,2.1609
,,1459956015000,2.1522
,,1459956016000,2.1721
,,1459956017000,2.0913
,,1459956018000,2.02
,,1459956019000,2.0594
