timestamp_ms,green,red,yellow
1485174391948.65,0,0,1
1485174394955.4,1,0,0
1485174397963.78,1,0,0
1485174400972.1,1,0,0
1485174403978.33,1,0,0
1485174406983.12,1,0,0
1485174409997.7,1,0,0
1485174413021.88,1,0,0
1485174416104.47,1,0,0
1485174419289.28,1,0,0
1485174422296.59,1,0,0
1485174425312.89,1,0,0
1485174428418.47,1,0,0
1485174431456.04,1,0,0
1485174434462.92,1,0,0
1485174437519.52,1,0,0
1485174440545.9,1,0,0
1485174443553.41,1,0,0
1485174446566.29,1,0,0
1485174449572.23,1,0,0
1485174452588.02,1,0,0
1485174455611.92,1,0,0
1485174458622.66,1,0,0
1485174461645.14,1,0,0
1485174464799,1,0,0
1485174467845.07,1,0,0
1485174470861.38,1,0,0
1485174473870.36,1,0,0
1485174476878.98,1,0,0
1485174479981.27,1,0,0
1485174483044.63,1,0,0
1485174486056.06,1,0,0
1485174489062.92,1,0,0
1485174492071.63,1,0,0
1485174495085.18,1,0,0
1485174498102.41,1,0,0
1485174501216.57,1,0,0
1485174504222.42,1,0,0
1485174507226.31,1,0,0
1485174510234.21,1,0,0
1485174513454.87,1,0,0
1485174516473.36,1,0,0
1485174519480.32,1,0,0
1485174522487.14,1,0,0
1485174525493.94,1,0,0
1485174528578.26,1,0,0
1485174531586.93,1,0,0
1485174534593.04,1,0,0
1485174537595.93,1,0,0
1485174540598.35,1,0,0
1485174543604.98,1,0,0
1485174546611.6,1,0,0
1485174549618.8,1,0,0
1485174556656.05,1,0,0
1485174559663.21,1,0,0
1485174562667.91,1,0,0
1485174565731.39,1,0,0
1485174568739.08,1,0,0
1485174571746.42,1,0,0
1485174574753.61,1,0,0
1485174577762.78,1,0,0
1485174580769.88,1,0,0
1485174583774.27,1,0,0
1485174586781.14,1,0,0
1485174589788.05,1,0,0
1485174592794.97,1,0,0
1485174595801.79,1,0,0
1485174598808.72,1,0,0
1485174601815.57,1,0,0
1485174604822.51,1,0,0
1485174607829.5,1,0,0
1485174610836.29,1,0,0
1485174613843.19,1,0,0
1485174616856.85,1,0,0
1485174619860.52,1,0,0
1485174622863.83,1,0,0
1485174625902.96,1,0,0
1485174628909.83,1,0,0
1485174632035.43,1,0,0
1485174635042.28,1,0,0
1485174638049.26,1,0,0
1485174641079.36,1,0,0
1485174644086.23,1,0,0
1485174647093.1,1,0,0
1485174650100.02,1,0,0
1485174653106.89,1,0,0
1485174656439.07,1,0,0
1485174659443.52,1,0,0
1485174662452.52,1,0,0
1485174665459.44,1,0,0
1485174668466.27,1,0,0
1485174671490.04,1,0,0
1485174674610.88,1,0,0
1485174677728.21,1,0,0
1485174680760.92,1,0,0
1485174683860.76,1,0,0
1485174686946.91,1,0,0
1485174689955.85,1,0,0
1485174693120.38,1,0,0
1485174696128.09,1,0,0
1485174699200.11,1,0,0
1485174702204.12,1,0,0
1485174705262.25,1,0,0
1485174708322.17,1,0,0
1485174711329.07,1,0,0
1485174714387.19,1,0,0
1485174717389.25,1,0,0
1485174724417.56,1,0,0
1485174727438.83,1,0,0
1485174730548.14,1,0,0
1485174733561.52,1,0,0
1485174736568.41,1,0,0
1485174739573.43,1,0,0
1485174742585.46,1,0,0
1485174745602.71,1,0,0
1485174748607.57,1,0,0
1485174751614.15,1,0,0
1485174754616.71,1,0,0
1485174757624,1,0,0
1485174760632.22,1,0,0
1485174763711.72,1,0,0
1485174766735.77,1,0,0
1485174769742.28,1,0,0
1485174772752.41,1,0,0
1485174775816.2,1,0,0
1485174778830.39,1,0,0
1485174781845.78,1,0,0
1485174784860.77,1,0,0
1485174787969.67,1,0,0
1485174790976.78,1,0,0
1485174793981.72,1,0,0
1485174796989.1,1,0,0
1485174800003.34,1,0,0
1485174803010.28,1,0,0
1485174806028.71,1,0,0
1485174809034.38,1,0,0
1485174812039.43,1,0,0
1485174815044.99,1,0,0
1485174822092.35,1,0,0
1485174825102.38,1,0,0
1485174828157.77,1,0,0
1485174831174.68,1,0,0
1485174834181.97,1,0,0
1485174837189.09,1,0,0
1485174840195.87,1,0,0
1485174843209.19,1,0,0
1485174846221.23,1,0,0
1485174849234.47,1,0,0
1485174852241.72,1,0,0
1485174855249.31,1,0,0
1485174858252.85,1,0,0
1485174861266.41,1,0,0
1485174864282.75,1,0,0
1485174867316.85,1,0,0
1485174870322.8,1,0,0
1485174873332.33,1,0,0
1485174875095.41,1,0,0
1485174878113.89,1,0,0
1485174881132.39,1,0,0
1485174884140.83,1,0,0
1485174887158.96,1,0,0
1485174890164.67,1,0,0
1485174893171.53,1,0,0
1485174896201.54,1,0,0
1485174899207.3,1,0,0
1485174902307.64,1,0,0
