timestamp_ms,latency_usec
1426181814195.0095,56.0055602349498
1426181816196.4536,55.9967897143247
1426181818198.5042,56.1868764383139
1426181820200.5527,56.4369657178497
1426181822202.6006,55.343355865584
1426181824204.6631,56.3106499312665
1426181825205.6929,56.6353485236917
1426181826206.7170,56.459344045227
1426181827207.7417,56.1679193246058
1426181828208.7649,55.5784350318902
1426181829209.7896,54.6709261716617
1426181830210.8127,56.1646857071972
1426181831211.4531,55.8611277206149
1426181832212.4849,56.4948212811812
1426181833213.5129,55.1029684403641
1426181834214.5393,56.5168454825824
1426181835215.5659,54.9184809396859
1426181836216.5935,56.7186575948
1426181837217.4282,56.5395427956317
1426181838218.4478,56.7423139330556
1426181839219.4727,55.8389525488788
1426181840220.4976,55.9919958800621
1426181841221.5239,56.6255440201097
1426181842222.5493,55.9873257431695
1426181843223.5752,56.9395568332101
1426181844224.5989,56.8941249618133
1426181845225.6238,56.8425031852446
1426181846226.6467,57.0773719476993
1426181847227.6729,56.2232089104931
1426181848228.6990,55.2701942438161
1426181849229.7256,55.6373172147691
1426181850230.7500,55.9919685682123
1426181851231.7747,56.117538861034
1426181852232.7974,56.2751689385049
1426181853233.8206,55.9715504128924
1426181854234.8447,56.5023661514337
1426181855235.8689,56.4497924728966
1426181856236.8931,56.5246997330176
1426181857237.4272,56.6698297803801
1426181858238.4534,56.1616990039764
1426181859239.4773,56.571004565202
1426181860240.4993,56.4083158264539
1426181861241.4556,56.3125906513713
1426181862242.4883,56.4279997093433
1426181863243.5173,56.3991803895642
1426181865245.5737,54.8388072691259
1426181867247.6387,56.2848674269047
1426181869249.6948,55.990662121228
1426181871251.7507,56.2659814609564
