timestamp_ms,transactions_sec
1426181815195.4270,18116.936532844
1426181817197.4788,18281.2590315738
1426181819199.5303,17742.7937104578
1426181821201.5776,17731.8266093491
1426181823203.6287,18259.7276091401
1426181824204.6631,17758.6300499215
1426181825205.6929,17656.817271667
1426181826206.7170,17711.8600456808
1426181827207.7417,17803.7572341036
1426181828208.7649,17992.5901012904
1426181829209.7896,18291.2577127392
1426181830210.8127,17804.7822650213
1426181831211.4531,17901.5361988648
1426181832212.4849,17700.7374715443
1426181833213.5129,18147.8426354156
1426181834214.5393,17693.8396235895
1426181835215.5659,18208.8066328391
1426181836216.5935,17630.8827184175
1426181837217.4282,17686.7365838915
1426181838218.4478,17623.5322581275
1426181839219.4727,17908.6453873691
1426181840220.4976,17859.6955561658
1426181841221.5239,17659.874484294
1426181842222.5493,17861.1853080338
1426181843223.5752,17562.4830191293
1426181844224.5989,17576.5072522196
1426181845225.6238,17592.4694368418
1426181846226.6467,17520.0778500509
1426181847227.6729,17786.2491198606
1426181848228.6990,18092.934423003
1426181849229.7256,17973.5481518607
1426181850230.7500,17859.704267796
1426181851231.7747,17819.740856354
1426181852232.7974,17769.8267079883
1426181853233.8206,17866.2194029498
1426181854234.8447,17698.3738578287
1426181855235.8689,17714.8569763145
1426181856236.8931,17691.3810196832
1426181857237.4272,17646.0738257981
1426181858238.4534,17805.7291309723
1426181859239.4773,17676.9001661873
1426181860240.4993,17727.8825887411
1426181861241.4556,17758.0180281698
1426181862242.4883,17721.6985388625
1426181863243.5173,17730.7541189913
1426181864244.5461,17864.6207246744
1426181866246.6123,17755.5595336289
1426181868248.6658,17669.3518156522
1426181870250.7227,17735.7706068714
