timestamp_ms,IRQ_000_IR-IO-APIC-edge_timer,IRQ_001_IR-IO-APIC-edge_i8042,IRQ_008_IR-IO-APIC-edge_rtc0,IRQ_009_IR-IO-APIC-fasteoi_acpi,IRQ_012_IR-IO-APIC-edge_i8042,IRQ_016_IR-IO-APIC-fasteoi_ehci_hcd:usb1_mmc0,IRQ_018_IR-IO-APIC-fasteoi_i801_smbus,IRQ_019_IR-IO-APIC-fasteoi_firewire_ohci,IRQ_023_IR-IO-APIC-fasteoi_ehci_hcd:usb2,IRQ_040_DMAR_MSI-edge_dmar0,IRQ_041_DMAR_MSI-edge_dmar1,IRQ_042_IR-PCI-MSI-edge_ahci,IRQ_043_IR-PCI-MSI-edge_xhci_hcd,IRQ_044_IR-PCI-MSI-edge_i915,IRQ_045_IR-PCI-MSI-edge_mei_me,IRQ_046_IR-PCI-MSI-edge_snd_hda_intel,IRQ_047_IR-PCI-MSI-edge_iwlwifi,IRQ_048_IR-PCI-MSI-edge_em1,IRQ_CAL_Function_call_interrupts,IRQ_ERR,IRQ_IWI_IRQ_work_interrupts,IRQ_LOC_Local_timer_interrupts,IRQ_MCE_Machine_check_exceptions,IRQ_MCP_Machine_check_polls,IRQ_MIS,IRQ_NMI_Non-maskable_interrupts,IRQ_PMI_Performance_monitoring_interrupts,IRQ_RES_Rescheduling_interrupts,IRQ_RTR_APIC_ICR_read_retries,IRQ_SPU_Spurious_interrupts,IRQ_THR_Hypervisor_callback_interrupts,IRQ_THR_Threshold_APIC_interrupts,IRQ_TLB_TLB_shootdowns,IRQ_TRM_Thermal_event_interrupts
1424904532915.44,0,0,0,0,0,2.66452624198123,0,0,0,0,0,239.141230217816,0,0,0,0,0,2.66452624198123,70.9430111927504,0,0,496.601078349253,0,0,0,23.6476703975835,23.6476703975835,44.6308145531857,0,0,0,0,2.33146046173358,0
1424904536494.3,0,0,0,0,0,0,0,0,0,0,0,203.416724361555,0,0,0,0,0,0.279418577419718,2.23534861935775,0,0,234.711605032563,0,0,0,13.9709288709859,13.9709288709859,6.98546443549295,0,0,0,0,0,0
1424904539496.22,0,0,0,0,0,0,0,0,0,0,0,244.177066369635,0,0,0,0,0,5.32992232184741,9.9936043534639,0,0,347.111191210313,0,0,0,11.3260849339257,11.3260849339257,5.99616261207834,0,0,0,0,2.66496116092371,0
1424904542498.77,0,0,0,0,0,0,0,0,0,0,0,7.32710517467859,0,0,0,0,0,0.999150705637989,5.32880376340261,0,0,353.699349795848,0,0,0,13.9881098789318,13.9881098789318,8.65930611552924,0,0,0,0,0.333050235212663,0
1424904545501.49,0,0,0,7.65972192692156,0,0,0,0,0,0,0,111.89854641068,0,0,0,0,0,3.99637665752429,3.66334526939727,0,0,286.406993789241,0,0,0,6.32759637441347,6.32759637441347,5.66153359815942,0,0,0,0,0.666062776254049,0
1424904548503.95,0,0,0,0,0,0,0,0,0,0,0,28.6431796323262,0,0,0,0,0,1.66530114141432,2.66448182626291,0,0,335.724710109126,0,0,0,9.65874662020303,9.65874662020303,4.32978296767722,0,0,0,0,0.333060228282863,0
1424904551507.05,0,0,0,0,0,0,0,0,0,0,0,4.6618492706674,0,0,0,0,0,6.99277390600111,3.329892336191,0,0,370.617017018059,0,0,0,12.3206016439067,12.3206016439067,4.9948385042865,0,0,0,0,0.665978467238201,0
1424904554510.21,0,0,0,0,0,0,0,0,0,0,0,45.2856337924662,0,0,0,0,0,0.998947804245577,3.32982601415192,0,0,378.601217809074,0,0,0,11.3214084481165,11.3214084481165,7.65859983254942,0,0,0,0,2.66386081132154,0
1424904557514.29,0,0,0,0.665761214077989,0,1.33152242815598,0,0,0,0,0,13.9809854956378,0,0,0,0.665761214077989,0,3.99456728446793,4.32744789150693,0,0,340.203980393852,0,0,0,11.9837018534038,11.9837018534038,6.3247315337409,0,0,0,0,0,0
1424904560517.78,0,0,0,0,0,0.665892014457465,0,0,0,0,0,131.513672855349,0,0,0,1.66473003614366,0,1.33178402891493,6.32597413734592,0,0,411.854210941942,0,0,0,14.982570325293,14.982570325293,17.3131923758941,0,0,0,0,0.332946007228733,0
