timestamp_ms,CPU_000,CPU_001,CPU_002,CPU_003,CPU_004,CPU_005,CPU_006,CPU_007
1424904532915.44,239.141230217816,0,0,0,0,0,0,0
1424904536494.3,203.416724361555,0,0,0,0,0,0,0
1424904539496.22,244.177066369635,0,0,0,0,0,0,0
1424904542498.77,7.32710517467859,0,0,0,0,0,0,0
1424904545501.49,111.89854641068,0,0,0,0,0,0,0
1424904548503.95,28.6431796323262,0,0,0,0,0,0,0
1424904551507.05,4.6618492706674,0,0,0,0,0,0,0
1424904554510.21,45.2856337924662,0,0,0,0,0,0,0
1424904557514.29,13.9809854956378,0,0,0,0,0,0,0
1424904560517.78,131.513672855349,0,0,0,0,0,0,0
1424904563523.43,9.64849564727627,0,0,0,0,0,0,0
1424904566530.44,29.9300633212774,0,0,0,0,0,0,0
1424904569533.69,70.5901939565471,0,0,0,0,0,0,0
1424904572537.37,15.6474715180938,0,0,0,0,0,0,0
1424904575540.38,14.3189677543558,0,0,0,0,0,0,0
1424904578543.04,16.9849391360005,0,0,0,0,0,0,0
1424904581546.99,60.2539998808535,0,0,0,0,0,0,0
1424904584550.06,25.3074348150391,0,0,0,0,0,0,0
1424904587552.57,3.99665611803796,0,0,0,0,0,0,0
1424904590555.04,37.6356803240691,0,0,0,0,0,0,0
1424904593558.87,11.9846992218918,0,0,0,0,0,0,0
