timestamp_ms,fedora-home,fedora-root,fedora-swap,luks-ea06d19b-489f-4236-8918-c95c91e3417c,sda
1424886532000,2.95,17.64,2139.99,2166.36,40.97
1424886535000,7.28,42.22,6275.17,6324.67,149.43
1424886538000,4.30,0.22,50.65,55.17,10.77
1424886541000,0.10,0.00,0.00,0.10,0.10
1424886544000,9.90,0.27,0.00,10.18,9.66
1424886547000,0.04,0.00,0.00,0.04,0.04
1424886550000,1.46,0.11,0.00,1.57,1.57
1424886553000,0.10,2.60,0.00,2.71,2.37
1424886556000,0.03,0.43,0.00,0.46,0.46
1424886559000,1.60,1.48,0.00,3.08,3.03
1424886562000,0.02,0.39,0.00,0.41,0.41
1424886565000,0.90,0.14,0.00,1.04,1.03
1424886568000,0.18,0.48,0.00,0.66,0.63
1424886571000,0.20,2.86,0.00,3.06,3.03
1424886574000,0.01,0.99,0.00,1.00,1.00
1424886577000,0.05,0.12,0.00,0.17,0.17
1424886580000,0.37,6.23,0.00,6.59,5.94
1424886583000,0.25,0.16,0.00,0.41,0.41
1424886586000,0.05,0.13,0.00,0.17,0.06
1424886589000,0.13,2.00,0.00,2.13,2.01
1424886592000,0.02,0.57,0.00,0.59,0.59
