timestamp_ms,fedora-home-read,fedora-home-write,fedora-root-read,fedora-root-write,fedora-swap-read,fedora-swap-write,luks-ea06d19b-489f-4236-8918-c95c91e3417c-read,luks-ea06d19b-489f-4236-8918-c95c91e3417c-write,sda-read,sda-write
1424886532000,23.91,23.91,6.35,6.35,2.00,2.00,2.19,2.19,46.87,46.87
1424886535000,40.31,40.31,17.14,17.14,2.00,2.00,2.62,2.62,36.52,36.52
1424886538000,6.45,6.45,2.92,2.92,0.00,0.00,6.33,6.33,9.55,9.55
1424886541000,29.05,29.05,0.00,0.00,0.00,0.00,27.60,27.60,27.60,27.60
1424886544000,3.88,3.88,8.31,8.31,0.00,0.00,4.37,4.37,4.37,4.37
1424886547000,1.46,1.46,0.00,0.00,0.00,0.00,1.33,1.33,1.33,1.33
1424886550000,3.86,3.86,2.00,2.00,0.00,0.00,3.62,3.62,3.62,3.62
1424886553000,1.53,1.53,6.04,6.04,0.00,0.00,5.04,5.04,5.48,5.48
1424886556000,2.00,2.00,2.00,2.00,0.00,0.00,1.93,1.93,1.93,1.93
1424886559000,4.08,4.08,12.99,12.99,0.00,0.00,11.34,11.34,11.39,11.39
1424886562000,1.67,1.67,2.00,2.00,0.00,0.00,1.85,1.85,1.85,1.85
1424886565000,7.73,7.73,11.33,11.33,0.00,0.00,8.14,8.14,8.14,8.14
1424886568000,14.53,14.53,2.49,2.49,0.00,0.00,5.07,5.07,5.30,5.30
1424886571000,15.85,15.85,9.55,9.55,0.00,0.00,9.96,9.96,9.96,9.96
1424886574000,2.29,2.29,2.49,2.49,0.00,0.00,2.41,2.41,2.41,2.41
1424886577000,7.83,7.83,8.57,8.57,0.00,0.00,8.21,8.21,8.21,8.21
1424886580000,3.44,3.44,4.47,4.47,0.00,0.00,4.25,4.25,6.27,6.27
1424886583000,1.66,1.66,25.52,25.52,0.00,0.00,11.22,11.22,11.22,11.22
1424886586000,1.72,1.72,2.00,2.00,0.00,0.00,1.87,1.87,5.60,5.60
1424886589000,1.67,1.67,4.14,4.14,0.00,0.00,3.72,3.72,3.89,3.89
1424886592000,1.67,1.67,2.00,2.00,0.00,0.00,1.87,1.87,1.88,1.88
