timestamp_ms,br0-rx,br0-tx,em1-rx,em1-tx,em2-rx,em2-tx,em3-rx,em3-tx,em4-rx,em4-tx,lbr0-rx,lbr0-tx,lo-rx,lo-tx,ovs-system-rx,ovs-system-tx,p3p1-rx,p3p1-tx,p3p2-rx,p3p2-tx,veth1bdc8f0-rx,veth1bdc8f0-tx,veth5fc8421-rx,veth5fc8421-tx,veth6b17299-rx,veth6b17299-tx,veth7db7cba-rx,veth7db7cba-tx,vethc2c3258-rx,vethc2c3258-tx,vethd05859d-rx,vethd05859d-tx,vlinuxbr-rx,vlinuxbr-tx,vovsbr-rx,vovsbr-tx
1427871323000,0.27664384,0.38035456,0.01835008,0.02072576,0,0,0,0,0,0,0.7008256,0.7307264,0.9101312,0.9101312,0,0,0.32464896,0.38060032,0,0,0.5935104,0.64684032,0,0,0.73146368,0.67305472,0.18440192,0.12197888,0.00016384,0.0004096,0,0,0,0,0,0
1427871326000,0.40648704,0.61743104,0.00294912,0,0,0,0,0,0,0,1.1149312,1.10936064,0.52125696,0.52125696,0,0,0.47988736,0.6172672,0,0,0.91439104,0.95363072,0,0,1.12369664,1.01752832,0.29483008,0.20348928,0,0,0,0,0,0,0,0
1427871329000,0.45662208,0.58146816,0.00262144,0,0,0,0,0,0,0,1.0416128,1.1259904,0.04603904,0.04603904,0,0,0.53526528,0.58146816,0,0,0.88539136,0.99360768,0,0,1.1419648,1.05857024,0.26247168,0.17424384,0.00016384,0.0004096,0,0,0,0,0,0
1427871332000,1.08240896,1.02350848,0.00262144,0,0,0,0,0,0,0,1.55615232,2.0185088,0.84672512,0.84672512,0,0,1.25362176,1.02350848,0,0,1.13876992,1.48987904,0,0,1.9648512,1.95084288,0.344064,0.22634496,0.00016384,0.0004096,0,0,0,0,0,0
1427871335000,1.95264512,1.29581056,0.00303104,0,0,0,0,0,0,0,1.83304192,3.10427648,0.10330112,0.10330112,0,0,2.28114432,1.29581056,0,0,1.232896,2.40418816,0,0,3.110912,3.05381376,0.38068224,0.2420736,0,0,0,0,0,0,0,0
1427871338000,5.05225216,0.9916416,0.00262144,0,0,0,0,0,0,0,1.5765504,6.82360832,0.5267456,0.5267456,0,0,6.02382336,0.99262464,0,0,1.25550592,2.54230528,0,0,2.95550976,6.81762816,0.37347328,0.237568,0.00032768,0.00049152,0,0,0,0,0,0
1427871341000,6.07412224,1.05824256,0.00278528,0,0,0,0,0,0,0,1.62955264,7.73046272,0.03293184,0.03293184,0,0,6.92813824,1.05725952,0,0,1.22773504,2.54418944,0,0,3.02333952,7.69900544,0.37330944,0.23789568,0,0,0,0,0,0,0,0
1427871344000,4.1762816,0.97181696,0.0024576,0,0,0,0,0,0,0,1.56778496,5.54287104,0.91807744,0.91807744,0,0,4.72989696,0.97181696,0,0,1.23322368,2.37412352,0,0,2.7619328,5.5033856,0.37748736,0.24117248,0.00016384,0.0004096,0,0,0,0,0,0
1427871347000,2.81837568,0.83607552,0.00434176,0,0,0,0,0,0,0,1.4823424,3.98278656,0.5271552,0.5271552,0,0,3.141632,0.83607552,0,0,1.25067264,2.39132672,0,0,2.62316032,3.92101888,0.39018496,0.24666112,0.00016384,0.0004096,0,0,0,0,0,0
1427871350000,1.4585856,0.9084928,0.00352256,0,0,0,0,0,0,0,1.52256512,2.4752128,0.0258048,0.0258048,0,0,1.65158912,0.9084928,0,0,1.23551744,2.3650304,0,0,2.68050432,2.42139136,0.38223872,0.24297472,0,0,0,0,0,0,0,0
