timestamp_ms,rx_datagrams_discard_no_dest_port_sec,rx_datagrams_discard_other_error,rx_datagrams_sec,tx_datagrams_sec
1427871323000,0.00,0.00,170.33,170.33
1427871326000,0.00,0.00,232.33,232.33
1427871329000,0.00,0.00,260.67,260.67
1427871332000,0.00,0.00,312.33,312.33
1427871335000,0.00,0.00,319.00,319.00
1427871338000,0.00,0.00,313.67,313.67
1427871341000,0.00,0.00,314.33,314.33
1427871344000,0.00,0.00,315.33,315.33
1427871347000,0.00,0.00,326.00,326.00
1427871350000,0.00,0.00,321.33,321.33
1427871353000,0.00,0.00,338.33,338.33
1427871356000,0.00,0.00,337.33,337.33
1427871359000,0.00,0.00,325.00,325.00
1427871362000,0.00,0.00,324.67,324.67
1427871365000,0.00,0.00,222.33,222.33
1427871368000,0.00,0.00,8.00,8.00
1427871371000,0.00,0.00,50.00,50.00
1427871374000,0.00,0.00,0.67,0.67
1427871377000,0.00,0.00,1.00,1.00
1427871380000,0.00,0.00,0.00,0.00
1427871383000,0.00,0.00,0.00,0.00
1427871386000,0.00,0.00,0.00,0.00
1427871389000,0.00,0.00,0.00,0.00
1427871392000,0.00,0.00,0.00,0.00
1427871395000,0.00,0.00,0.00,0.00
1427871398000,0.00,0.00,0.00,0.00
1427871401000,0.00,0.00,188.67,188.67
