timestamp_ms,context_switches_sec,processes_created_sec
1427871323000,15214.67,107.00
1427871326000,22772.67,118.00
1427871329000,19733.67,132.33
1427871332000,27975.33,158.33
1427871335000,30236.67,161.33
1427871338000,27773.33,158.67
1427871341000,27329.33,158.67
1427871344000,28382.00,160.00
1427871347000,28739.00,165.33
1427871350000,28606.67,162.67
1427871353000,33099.33,170.67
1427871356000,32669.00,171.00
1427871359000,31911.67,164.00
1427871362000,31652.00,166.33
1427871365000,26453.33,115.00
1427871368000,3991.33,5.00
1427871371000,6232.33,27.00
1427871374000,3045.00,2.00
1427871377000,2316.33,2.00
1427871380000,2440.67,2.00
1427871383000,2153.67,2.00
1427871386000,2395.67,2.00
1427871389000,2423.67,2.00
1427871392000,1794.00,2.00
1427871395000,2788.33,2.00
1427871398000,824.67,2.00
1427871401000,15438.00,96.33
