timestamp_ms,datagram_fragments_gen_sec,datagrams_delivered_sec,datagrams_fragmented_ok_sec,datagrams_output_requests_sec,datagrams_reassmbled_sec,fragments_rx_need_reassemble_sec,rx_datagrams_forwarded_sec,rx_datagrams_header_err_sec,rx_datagrams_invalid_addr_sec,rx_datagrams_nobuff_sec,rx_datagrams_reassmbly_fail_sec,rx_datagrams_sec,rx_datagrams_unknown_proto_sec,tx_datagrams_fragment_fail_sec,tx_datagrams_nobuff_sec,tx_datagrams_noroute_sec
1427871323000,0.00,678.33,0.00,1458.33,0.00,0.00,780.00,0.00,0.00,0.00,0.00,1460.33,0.00,0.00,0.00,0.00
1427871326000,0.00,903.33,0.00,2121.33,0.00,0.00,1218.00,0.00,0.00,0.00,0.00,2124.67,0.00,0.00,0.00,0.00
1427871329000,0.00,803.33,0.00,2074.33,0.00,0.00,1271.00,0.00,0.00,0.00,0.00,2077.33,0.00,0.00,0.00,0.00
1427871332000,0.00,1079.00,0.00,3832.67,0.00,0.00,2753.67,0.00,0.00,0.00,0.00,3834.67,0.00,0.00,0.00,0.00
1427871335000,0.00,1071.33,0.00,5648.33,0.00,0.00,4576.33,0.00,0.00,0.00,0.00,5649.00,0.00,0.00,0.00,0.00
1427871338000,0.00,1096.00,0.00,10873.33,0.00,0.00,9777.33,0.00,0.00,0.00,0.00,10876.67,0.00,0.00,0.00,0.00
1427871341000,0.00,1033.00,0.00,9861.00,0.00,0.00,8828.00,0.00,0.00,0.00,0.00,9865.00,0.00,0.00,0.00,0.00
1427871344000,0.00,1153.33,0.00,7152.00,0.00,0.00,5998.67,0.00,0.00,0.00,0.00,7153.67,0.00,0.00,0.00,0.00
1427871347000,0.00,1134.67,0.00,4837.33,0.00,0.00,3702.67,0.00,0.00,0.00,0.00,4839.33,0.00,0.00,0.00,0.00
1427871350000,0.00,1049.33,0.00,3751.33,0.00,0.00,2702.00,0.00,0.00,0.00,0.00,3754.33,0.00,0.00,0.00,0.00
1427871353000,0.00,1216.33,0.00,7350.00,0.00,0.00,6133.67,0.00,0.00,0.00,0.00,7351.67,0.00,0.00,0.00,0.00
1427871356000,0.00,1123.67,0.00,2756.67,0.00,0.00,1633.00,0.00,0.00,0.00,0.00,2757.33,0.00,0.00,0.00,0.00
1427871359000,0.00,1099.00,0.00,2417.00,0.00,0.00,1318.33,0.00,0.00,0.00,0.00,2419.00,0.00,0.00,0.00,0.00
1427871362000,0.00,1124.33,0.00,2159.67,0.00,0.00,1034.33,0.00,0.00,0.00,0.00,2162.33,0.00,0.00,0.00,0.00
1427871365000,0.00,936.67,0.00,1920.33,0.00,0.00,983.33,0.00,0.00,0.00,0.00,1921.33,0.00,0.00,0.00,0.00
1427871368000,0.00,174.33,0.00,10897.67,0.00,0.00,10724.33,0.00,0.00,0.00,0.00,10901.33,0.00,0.00,0.00,0.00
1427871371000,0.00,230.33,0.00,4959.33,0.00,0.00,4730.00,0.00,0.00,0.00,0.00,4962.67,0.00,0.00,0.00,0.00
1427871374000,0.00,184.00,0.00,220.00,0.00,0.00,36.00,0.00,0.00,0.00,0.00,222.33,0.00,0.00,0.00,0.00
1427871377000,0.00,96.33,0.00,102.00,0.00,0.00,5.67,0.00,0.00,0.00,0.00,104.33,0.00,0.00,0.00,0.00
1427871380000,0.00,96.33,0.00,96.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.67,0.00,0.00,0.00,0.00
1427871383000,0.00,144.00,0.00,144.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,146.00,0.00,0.00,0.00,0.00
1427871386000,0.00,110.67,0.00,110.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,113.67,0.00,0.00,0.00,0.00
1427871389000,0.00,136.00,0.00,136.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,139.00,0.00,0.00,0.00,0.00
1427871392000,0.00,134.00,0.00,134.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,134.67,0.00,0.00,0.00,0.00
1427871395000,0.00,125.00,0.00,125.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126.67,0.00,0.00,0.00,0.00
1427871398000,0.00,96.67,0.00,111.33,0.00,0.00,14.67,0.00,0.00,0.00,0.00,113.00,0.00,0.00,0.00,0.00
1427871401000,0.00,572.67,0.00,1694.33,0.00,0.00,1121.67,0.00,0.00,0.00,0.00,1696.33,0.00,0.00,0.00,0.00
