timestamp_ms,commit_pct,hugeused_pct,kbactive,kbanonpg,kbbuffers,kbcached,kbcommit,kbdirty,kbhugefree,kbhugeused,kbinactive,kbkstack,kbmemfree,kbmemused,kbpgtbl,kbslab,kbswpcad,kbswpfree,kbswpused,kbvmused,memused_pct,swpcad_pct,swpused_pct
1427871323000,3.20,0.00,2315936,310364,45352,3363156,3160252,668,0,0,2268272,9648,60009228,5719676,21148,14665204,0,32964604,0,201476,8.70,0.00,0.00
1427871326000,3.27,0.00,2318440,310364,45352,3363608,3228716,1120,0,0,2268268,9648,59988560,5740344,21148,14665204,0,32964604,0,201476,8.73,0.00,0.00
1427871329000,3.21,0.00,2324096,310364,45360,3364060,3172224,1572,0,0,2268276,9648,60001688,5727216,21148,14665204,0,32964604,0,201476,8.71,0.00,0.00
1427871332000,3.29,0.00,2351204,310364,45360,3364436,3245472,1940,0,0,2268288,9648,59965820,5763084,21148,14665204,0,32964604,0,201476,8.77,0.00,0.00
1427871335000,3.33,0.00,2391064,310364,45368,3364932,3284652,2372,0,0,2268368,9648,59914816,5814088,21148,14665204,0,32964604,0,201476,8.85,0.00,0.00
1427871338000,3.33,0.00,2391216,310364,45376,3365340,3284476,2772,0,0,2268380,9648,59901584,5827320,21148,14665204,0,32964604,0,201476,8.87,0.00,0.00
1427871341000,3.33,0.00,2391228,310364,45376,3365740,3284648,3168,0,0,2268396,9648,59897576,5831328,21148,14665204,0,32964604,0,201476,8.87,0.00,0.00
1427871344000,3.33,0.00,2391372,310364,45384,3366144,3284932,3576,0,0,2268396,9648,59895708,5833196,21148,14665204,0,32964604,0,201476,8.87,0.00,0.00
1427871347000,3.41,0.00,2391336,310364,45384,3366516,3366948,3484,0,0,2268420,9648,59887724,5841180,21148,14665204,0,32964604,0,201476,8.89,0.00,0.00
1427871350000,3.33,0.00,2390224,310364,45392,3366944,3284756,3912,0,0,2268420,9648,59895176,5833728,21148,14665204,0,32964604,0,201476,8.88,0.00,0.00
1427871353000,3.33,0.00,2390884,310364,45400,3367460,3284756,1840,0,0,2268448,9648,59893496,5835408,21148,14665204,0,32964604,0,201476,8.88,0.00,0.00
1427871356000,3.33,0.00,2390816,310364,45400,3367968,3284760,736,0,0,2268444,9648,59890380,5838524,21148,14665204,0,32964604,0,201476,8.88,0.00,0.00
1427871359000,3.33,0.00,2390312,310364,45408,3368444,3284768,944,0,0,2268528,9648,59890136,5838768,21148,14665204,0,32964604,0,201476,8.88,0.00,0.00
1427871362000,3.33,0.00,2389048,310364,45408,3368828,3284936,1324,0,0,2268552,9648,59892876,5836028,21148,14665204,0,32964604,0,201476,8.88,0.00,0.00
1427871365000,3.30,0.00,2388024,310364,45416,3368976,3260172,1792,0,0,2268248,9648,59894808,5834096,21148,14665204,0,32964604,0,201476,8.88,0.00,0.00
1427871368000,3.30,0.00,2386788,310364,45424,3369220,3254004,2044,0,0,2268268,9648,59898060,5830844,21148,14665204,0,32964604,0,201476,8.87,0.00,0.00
1427871371000,3.30,0.00,2388768,310364,45424,3369452,3254004,2268,0,0,2268256,9648,59900548,5828356,21148,14665204,0,32964604,0,201476,8.87,0.00,0.00
1427871374000,3.30,0.00,2389104,310364,45432,3369732,3252096,2540,0,0,2268268,9648,59903276,5825628,21148,14665204,0,32964604,0,201476,8.86,0.00,0.00
1427871377000,3.29,0.00,2389048,310364,45432,3369956,3247984,2760,0,0,2268288,9648,59904784,5824120,21148,14665204,0,32964604,0,201476,8.86,0.00,0.00
1427871380000,3.29,0.00,2389596,310364,45440,3370160,3247984,2968,0,0,2268284,9648,59905708,5823196,21148,14665204,0,32964604,0,201476,8.86,0.00,0.00
1427871383000,3.29,0.00,2389724,310364,45448,3370392,3247984,2748,0,0,2268304,9648,59907248,5821656,21148,14665204,0,32964604,0,201476,8.86,0.00,0.00
1427871386000,3.29,0.00,2389860,310364,45448,3370684,3247984,428,0,0,2268380,9648,59908572,5820332,21148,14665204,0,32964604,0,201476,8.86,0.00,0.00
1427871389000,3.29,0.00,2390020,310364,45456,3370936,3247840,336,0,0,2268396,9648,59909356,5819548,21148,14665204,0,32964604,0,201476,8.85,0.00,0.00
1427871392000,3.29,0.00,2390280,310364,45456,3371172,3247840,532,0,0,2268420,9648,59909812,5819092,21148,14665204,0,32964604,0,201476,8.85,0.00,0.00
1427871395000,3.29,0.00,2390676,310364,45464,3371444,3247984,808,0,0,2268392,9648,59909496,5819408,21148,14665204,0,32964604,0,201476,8.85,0.00,0.00
1427871398000,3.29,0.00,2390764,310364,45464,3371680,3247984,1032,0,0,2268412,9648,59909432,5819472,21148,14665204,0,32964604,0,201476,8.85,0.00,0.00
1427871401000,3.36,0.00,2393200,310364,45472,3371952,3312744,1308,0,0,2268424,9648,59902500,5826404,21148,14665204,0,32964604,0,201476,8.86,0.00,0.00
