timestamp_ms,active_opens_sec,passive_opens_sec,rx_segments_sec,tcp_attempt_fails_sec,tcp_establish_resets_sec,tcp_rx_segments_error_sec,tcp_segments_retransmitted_sec,tcp_tx_segments_RSTflag_sec,tx_segments_sec
1427871323000,3.33,3.33,508.00,0.00,0.67,0.00,0.00,0.00,506.33
1427871326000,3.00,3.00,671.00,0.00,0.00,0.00,0.00,0.00,670.67
1427871329000,0.00,0.00,542.67,0.00,0.00,0.00,0.00,0.00,542.67
1427871332000,3.33,3.33,766.67,0.00,0.67,0.00,0.00,0.00,764.67
1427871335000,0.33,0.00,752.33,0.00,0.00,0.00,0.00,0.00,753.00
1427871338000,3.00,3.00,783.00,0.00,0.00,0.00,0.00,0.00,782.67
1427871341000,0.00,0.00,718.00,0.00,0.00,0.00,0.00,0.00,718.00
1427871344000,3.67,3.67,838.67,0.00,0.67,0.00,0.00,0.00,836.33
1427871347000,3.00,3.00,808.00,0.00,0.00,0.00,0.00,0.00,807.67
1427871350000,0.00,0.00,728.00,0.00,0.00,0.00,0.00,0.00,728.00
1427871353000,3.33,3.33,878.33,0.00,0.67,0.00,0.00,0.00,877.00
1427871356000,0.00,0.00,787.33,0.00,0.67,0.00,0.00,0.00,787.33
1427871359000,3.00,3.00,773.00,0.00,0.00,0.00,0.00,0.00,773.00
1427871362000,0.67,0.67,799.33,0.00,0.67,0.00,0.00,0.00,798.00
1427871365000,3.00,2.67,714.33,0.00,0.00,0.00,0.00,0.00,714.67
1427871368000,3.33,3.67,166.33,0.00,0.33,0.00,0.00,0.00,165.33
1427871371000,0.00,0.33,180.33,0.00,0.33,0.00,0.00,0.00,179.33
1427871374000,4.33,4.33,183.33,0.00,0.67,0.00,0.00,0.00,182.00
1427871377000,0.00,0.00,95.33,0.00,0.00,0.00,0.00,0.00,95.33
1427871380000,2.67,2.67,96.33,0.00,0.00,0.00,0.00,0.00,96.33
1427871383000,0.67,0.67,144.00,0.00,1.33,0.00,0.00,0.00,143.00
1427871386000,3.67,3.67,110.67,0.00,0.00,0.00,0.00,0.00,110.67
1427871389000,3.33,3.33,136.00,0.00,1.33,0.00,0.00,0.00,136.00
1427871392000,1.67,1.67,134.00,0.00,0.67,0.00,0.00,0.00,131.67
1427871395000,3.33,3.00,125.00,0.00,0.00,0.00,0.00,0.00,125.67
1427871398000,0.00,0.00,96.67,0.00,0.67,0.00,0.00,0.00,96.67
1427871401000,3.00,3.00,384.33,0.00,0.00,0.00,0.00,0.00,384.33
