timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1427871323000,0.00,0.00,96.32,0.00,0.00,0.00,0.00,0.00,0.67,3.01
1427871326000,0.00,0.00,98.67,0.00,0.00,0.00,0.00,0.00,0.33,1.00
1427871329000,0.00,0.00,99.33,0.00,0.00,0.00,0.00,0.00,0.67,0.00
1427871332000,0.00,0.00,99.67,0.00,0.00,0.00,0.33,0.00,0.00,0.00
1427871335000,0.00,0.00,98.66,0.00,0.00,0.00,0.00,0.00,0.33,1.00
1427871338000,0.00,0.00,99.67,0.00,0.00,0.00,0.00,0.00,0.00,0.33
1427871341000,0.00,0.00,95.68,0.00,0.00,0.00,0.00,0.00,0.66,3.65
1427871344000,0.00,0.00,99.67,0.00,0.00,0.00,0.00,0.00,0.33,0.00
1427871347000,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.33,0.67
1427871350000,0.00,0.00,97.66,0.00,0.00,0.00,0.00,0.00,0.33,2.01
1427871353000,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.67,4.33
1427871356000,0.00,0.00,96.67,0.00,0.00,0.00,0.00,0.00,0.67,2.67
1427871359000,0.00,0.00,97.99,0.00,0.00,0.00,0.00,0.00,0.00,2.01
1427871362000,0.00,0.00,99.33,0.00,0.00,0.00,0.00,0.00,0.33,0.33
1427871365000,0.00,0.00,98.00,0.00,0.00,0.00,0.33,0.00,0.33,1.33
1427871368000,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427871371000,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427871374000,0.00,0.00,99.67,0.00,0.00,0.00,0.00,0.00,0.00,0.33
1427871377000,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427871380000,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427871383000,0.00,0.00,99.67,0.00,0.00,0.00,0.00,0.00,0.33,0.00
1427871386000,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427871389000,0.00,0.00,98.67,0.00,0.00,0.00,0.00,0.00,0.00,1.33
1427871392000,0.00,0.00,81.61,0.00,0.00,0.00,0.00,0.00,0.00,18.39
1427871395000,0.00,0.00,97.33,0.00,0.00,0.00,0.00,0.00,0.33,2.33
1427871398000,0.00,0.00,96.33,0.00,0.00,0.00,0.00,0.00,0.00,3.67
1427871401000,0.00,0.00,96.67,0.00,0.00,0.00,0.00,0.00,0.00,3.33
