timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1427871323000,0.00,0.00,96.98,0.00,0.00,0.00,0.00,0.00,1.01,2.01
1427871326000,0.00,0.00,97.66,0.00,0.00,0.00,0.00,0.00,1.00,1.34
1427871329000,0.00,0.00,94.65,0.00,0.00,0.00,0.33,0.00,1.00,4.01
1427871332000,0.00,0.00,82.43,0.00,0.00,0.00,0.34,0.00,3.72,13.51
1427871335000,0.00,0.00,87.50,0.00,0.00,0.00,0.68,0.00,2.36,9.46
1427871338000,0.00,0.00,95.21,0.00,0.00,0.00,0.68,0.00,1.03,3.08
1427871341000,0.00,0.00,96.22,0.00,0.00,0.00,0.69,0.00,1.72,1.37
1427871344000,0.00,0.00,91.81,0.00,0.00,0.00,0.68,0.00,1.71,5.80
1427871347000,0.00,0.00,93.54,0.00,0.00,0.00,0.34,0.00,1.70,4.42
1427871350000,0.00,0.00,95.62,0.00,0.00,0.00,0.34,0.00,2.02,2.02
1427871353000,0.00,0.00,92.83,0.00,0.00,0.00,0.34,0.00,1.37,5.46
1427871356000,0.00,0.00,95.62,0.00,0.00,0.00,0.00,0.00,2.36,2.02
1427871359000,0.00,0.00,98.99,0.00,0.00,0.00,0.00,0.00,0.34,0.67
1427871362000,0.00,0.00,95.97,0.00,0.00,0.00,0.34,0.00,1.68,2.01
1427871365000,0.00,0.00,96.97,0.00,0.00,0.00,0.34,0.00,1.01,1.68
1427871368000,0.00,0.00,99.32,0.00,0.00,0.00,0.00,0.00,0.68,0.00
1427871371000,0.00,0.00,99.66,0.00,0.00,0.00,0.00,0.00,0.00,0.34
1427871374000,0.00,0.00,99.67,0.00,0.00,0.00,0.00,0.00,0.00,0.33
1427871377000,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427871380000,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427871383000,0.00,0.00,99.67,0.00,0.00,0.00,0.00,0.00,0.33,0.00
1427871386000,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427871389000,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427871392000,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427871395000,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427871398000,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427871401000,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.33,0.67
