timestamp_ms,raw_sockets,tcp_sockets,tcp_timewait_sockets,total_sockets,udp_sockets
1427871323000,0,68,322,1066,10
1427871326000,0,73,701,993,10
1427871329000,0,69,1025,1249,10
1427871332000,0,69,1457,2843,10
1427871335000,0,68,1939,5075,10
1427871338000,0,69,2402,5077,10
1427871341000,0,69,2869,5077,10
1427871344000,0,68,3341,5075,10
1427871347000,0,69,3867,5077,10
1427871350000,0,69,4378,5076,10
1427871353000,0,68,5034,5067,10
1427871356000,0,66,5618,4989,10
1427871359000,0,67,6143,4068,10
1427871362000,0,67,6831,2687,10
1427871365000,0,65,7462,1514,10
1427871368000,0,66,11857,1231,10
1427871371000,0,65,13793,1048,10
1427871374000,0,66,13828,980,10
1427871377000,0,66,13831,971,10
1427871380000,0,66,13839,971,10
1427871383000,0,63,13095,965,10
1427871386000,0,66,13103,971,10
1427871389000,0,64,13111,967,10
1427871392000,0,66,13112,971,10
1427871395000,0,66,13121,971,10
1427871398000,0,64,12003,967,10
1427871401000,0,65,12189,1649,10
