timestamp_ms,fault_sec,majflt_sec,page_swaps_in_sec,page_swaps_out_sec,pgfree_sec,pgpgin_sec,pgpgout_sec,pgscand_sec,pgscank_sec,pgsteal_sec,vmeff_pct
1427871323000,19474.33,0.00,0.00,0.00,30402.00,0.00,47.33,0.00,0.00,0.00,0.00
1427871326000,6984.00,0.00,0.00,0.00,9185.00,0.00,28.33,0.00,0.00,0.00,0.00
1427871329000,5826.67,0.00,0.00,0.00,22623.00,0.00,26.33,0.00,0.00,0.00,0.00
1427871332000,7235.33,0.00,0.00,0.00,22570.67,0.00,31.00,0.00,0.00,0.00,0.00
1427871335000,9321.00,0.00,0.00,0.00,24466.33,21.33,109.00,0.00,0.00,0.00,0.00
1427871338000,6514.67,0.00,0.00,0.00,23596.00,0.00,30.33,0.00,0.00,0.00,0.00
1427871341000,4198.67,0.00,0.00,0.00,5429.67,0.00,30.00,0.00,0.00,0.00,0.00
1427871344000,5715.33,0.00,0.00,0.00,23291.00,0.00,38.00,0.00,0.00,0.00,0.00
1427871347000,6245.67,0.00,0.00,0.00,20281.33,0.00,184.33,0.00,0.00,0.00,0.00
1427871350000,5364.00,0.00,0.00,0.00,9851.00,0.00,38.67,0.00,0.00,0.00,0.00
1427871353000,10653.33,0.00,0.00,0.00,31193.33,0.00,967.33,0.00,0.00,0.00,0.00
1427871356000,4750.33,0.00,0.00,0.00,5788.67,0.00,645.67,0.00,0.00,0.00,0.00
1427871359000,5965.67,0.00,0.00,0.00,22660.67,21.33,113.67,0.00,0.00,0.00,0.00
1427871362000,3333.00,0.00,0.00,0.00,4426.33,0.00,28.00,0.00,0.00,0.00,0.00
1427871365000,8099.00,0.00,0.00,0.00,42137.67,0.00,26.67,0.00,0.00,0.00,0.00
1427871368000,3358.33,0.00,0.00,0.00,20622.33,0.00,9.33,0.00,0.00,0.00,0.00
1427871371000,1648.33,0.00,0.00,0.00,2246.00,0.00,19.67,0.00,0.00,0.00,0.00
1427871374000,3272.33,0.00,0.00,0.00,19652.67,0.00,9.67,0.00,0.00,0.00,0.00
1427871377000,1254.33,0.00,0.00,0.00,1472.33,0.00,0.00,0.00,0.00,0.00,0.00
1427871380000,4074.67,0.00,0.00,0.00,19356.00,0.00,9.33,0.00,0.00,0.00,0.00
1427871383000,1126.67,0.00,0.00,0.00,1356.00,21.33,274.67,0.00,0.00,0.00,0.00
1427871386000,2680.33,0.00,0.00,0.00,19363.33,0.00,970.67,0.00,0.00,0.00,0.00
1427871389000,3700.00,0.00,0.00,0.00,19488.67,0.00,10.67,0.00,0.00,0.00,0.00
1427871392000,1107.33,0.00,0.00,0.00,1221.33,0.00,13.33,0.00,0.00,0.00,0.00
1427871395000,6408.67,0.00,0.00,0.00,39310.67,0.00,10.00,0.00,0.00,0.00,0.00
1427871398000,1056.33,0.00,0.00,0.00,1315.00,0.00,4.00,0.00,0.00,0.00,0.00
1427871401000,11474.33,0.00,0.00,0.00,27766.67,0.00,10.00,0.00,0.00,0.00,0.00
