timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1432111047000,0.00,10.03,89.63,0.00,0.00,0.00,0.00,0.00,0.33,0.00
1432111050000,0.00,10.10,88.89,0.00,0.00,0.00,0.00,0.00,0.67,0.34
1432111053000,0.00,4.35,95.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1432111056000,0.00,12.12,86.87,0.00,0.00,0.00,0.00,0.00,1.01,0.00
1432111059000,0.00,25.00,73.31,0.00,0.00,0.00,0.00,0.00,1.69,0.00
1432111062000,0.00,33.89,64.43,0.00,0.00,0.00,0.00,0.00,1.34,0.34
1432111065000,0.00,37.92,60.74,0.00,0.00,0.00,0.00,0.00,1.34,0.00
1432111068000,0.00,45.12,53.20,0.00,0.00,0.00,0.00,0.00,1.68,0.00
1432111071000,0.00,54.52,43.81,0.00,0.00,0.00,0.33,0.00,1.00,0.33
1432111074000,0.00,35.00,63.33,0.00,0.00,0.00,0.00,0.00,1.67,0.00
1432111077000,0.00,38.72,59.26,0.00,0.00,0.00,0.00,0.00,1.68,0.34
