timestamp_ms,cpu_00,cpu_01,cpu_02,cpu_03,cpu_04,cpu_05,cpu_06,cpu_07,cpu_08,cpu_09,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15,cpu_16,cpu_17,cpu_18,cpu_19,cpu_20,cpu_21,cpu_22,cpu_23,cpu_24,cpu_25,cpu_26,cpu_27,cpu_28,cpu_29,cpu_30,cpu_31
1432111047000,3299.88,3592.71,3432.64,3565.52,3326.39,3554.19,3299.54,3598.15,3355.27,3570.05,3396.96,3343.49,3392.09,3312.00,3308.60,3599.85,3334.09,3299.99,3300.22,3313.47,3587.95,3299.88,3368.19,3299.99,3398.66,3299.88,3399.91,3599.85,3399.11,3596.33,3432.30,3299.99
1432111050000,3332.39,3299.88,3359.80,3280.17,3340.77,3273.48,3320.61,3287.53,3349.38,3274.84,3374.53,3299.99,3319.02,3292.51,3321.06,3299.08,3334.09,3299.88,3301.58,3299.99,3344.06,3299.88,3368.19,3299.99,3264.08,3299.99,3375.55,3299.99,3329.78,3299.99,3392.43,3299.99
1432111053000,3299.99,3299.88,3299.99,3299.99,3299.88,3299.99,3299.99,3299.99,3299.88,3299.99,3299.99,3299.88,3299.88,3299.88,3275.18,3299.99,3299.99,3299.99,3299.88,3299.88,3299.99,3299.99,3299.99,3299.88,3299.88,3299.88,3299.99,3244.60,3299.99,3299.99,3299.88,3299.99
1432111056000,3299.99,3299.88,3299.88,3299.99,3299.88,3299.99,3299.88,3299.99,3299.99,3299.99,3299.88,3299.99,3299.88,3299.99,3299.88,3299.88,3299.99,3299.99,3300.10,3282.09,3299.88,3299.88,3299.99,3299.88,3299.99,3316.30,3299.99,3299.88,3299.88,3299.99,3299.88,3299.99
1432111059000,3299.99,3299.88,3299.88,3279.26,3299.99,3299.54,3299.99,3299.99,3299.88,3299.99,3299.88,3272.69,3299.99,3299.99,3299.88,3299.88,3299.99,3299.88,3299.88,3299.99,3299.99,3299.99,3299.99,3299.99,3299.99,3299.99,3299.99,3299.99,3299.99,3299.99,3299.88,3299.99
1432111062000,3310.64,3299.88,3302.60,3299.88,3299.99,3299.99,3314.15,3299.99,3299.99,3257.28,3299.99,3299.88,3299.99,3299.99,3304.30,3299.88,3299.99,3299.88,3324.57,3299.99,3299.99,3299.99,3298.97,3302.82,3299.99,3299.99,3309.51,3299.99,3306.56,3299.88,3299.99,3299.99
1432111065000,3306.67,3299.99,3328.20,3299.99,3300.10,3299.88,3300.10,3299.99,3300.90,3299.88,3310.07,3299.88,3300.33,3299.88,3301.46,3299.99,3308.03,3299.99,3307.81,3299.99,3300.10,3299.99,3304.86,3299.99,3299.88,3299.99,3302.60,3299.99,3324.12,3299.99,3316.42,3299.88
1432111068000,3384.16,3299.99,3309.05,3299.99,3366.49,3299.99,3309.73,3299.88,3326.16,3299.99,3319.48,3299.99,3381.78,3299.99,3316.87,3299.99,3378.04,3299.99,3302.71,3299.99,3337.71,3299.99,3321.74,3299.88,3306.22,3299.99,3312.57,3299.88,3358.22,3299.99,3314.38,3299.99
1432111071000,3320.27,3299.99,3301.69,3313.02,3287.19,3308.60,3303.62,3324.80,3419.84,3299.99,3300.22,3300.44,3300.10,3312.00,3299.88,3320.27,3321.97,3299.99,3317.32,3305.66,3306.90,3309.85,3303.84,3304.98,3312.79,3301.01,3308.60,3299.99,3299.99,3300.67,3303.73,3313.02
1432111074000,3307.58,3323.10,3303.16,3310.75,3307.24,3335.45,3305.77,3308.03,3308.94,3306.67,3299.99,3319.25,3299.88,3326.61,3299.99,3312.00,3301.80,3299.88,3303.96,3313.70,3310.64,3310.30,3309.85,3335.67,3306.45,3315.40,3299.99,3336.13,3299.99,3313.13,3305.88,3368.64
1432111077000,3299.99,3300.44,3299.99,3300.78,3301.35,3299.99,3308.83,3300.56,3299.99,3299.99,3300.90,3299.99,3301.12,3299.99,3300.22,3299.99,3311.32,3299.99,3302.03,3299.99,3299.88,3299.99,3299.99,3299.99,3301.92,3299.99,3301.12,3299.99,3299.99,3299.99,3307.01,3299.88
