timestamp_ms,bond0-rx,bond0-tx,em1-rx,em1-tx,em2-rx,em2-tx,em3-rx,em3-tx,em4-rx,em4-tx,lo-rx,lo-tx,rhev10g-rx,rhev10g-tx,rhevm-rx,rhevm-tx,vnet0-rx,vnet0-tx
1432111047000,0,0,0,0,0.00016384,0,0.08896512,0.03407872,0,0,0,0,8.192e-05,0,0.0540672,0.0417792,0.02670592,0.07028736
1432111050000,0,0,0,0,0.00032768,0,0.01335296,0.00622592,0,0,0,0,0.00024576,0,0.00606208,0.00466944,0.00155648,0.00884736
1432111053000,0,0,0,0,0.00016384,0,0.00524288,0.00147456,0,0,0,0,8.192e-05,0,0.00442368,0.00147456,0,0.00417792
1432111056000,0,0,0,0,0.0008192,0,0.00483328,0.02260992,0,0,0,0,0.00024576,0,0.00401408,0.02228224,0,0.00221184
1432111059000,0,0,0,0,0.00016384,0,0.0049152,0.00147456,0,0,0,0,8.192e-05,0,0.004096,0.00147456,0,0.0036864
1432111062000,0,0,0,0,0.00032768,0,0.0118784,0.004096,0,0,0,0,0.00024576,0,0.01081344,0.004096,0,0.00802816
1432111065000,0,0,0,0,0.00016384,0,0.0065536,0.00147456,0,0,0,0,8.192e-05,0,0.0057344,0.00147456,0,0.00548864
1432111068000,0,0,0,0,0.00032768,0,0.00507904,0.00155648,0,0,0,0,0.00024576,0,0.00417792,0.00155648,0,0.0036864
1432111071000,0,0,0,0,0.00016384,0,0.00892928,0.02629632,0,0,0,0,8.192e-05,0,0.00786432,0.02596864,0,0.0028672
1432111074000,0,0,0,0,0.00032768,0,0.00557056,0.00147456,0,0,0,0,0.00024576,0,0.00475136,0.00147456,0,0.00442368
1432111077000,0,0,0,0,0.00016384,0,0.00466944,0.00147456,0,0,0,0,8.192e-05,0,0.00385024,0.00147456,0,0.00352256
