timestamp_ms,active_opens_sec,passive_opens_sec,rx_segments_sec,tcp_attempt_fails_sec,tcp_establish_resets_sec,tcp_rx_segments_error_sec,tcp_segments_retransmitted_sec,tcp_tx_segments_RSTflag_sec,tx_segments_sec
1432111047000,0.67,0.00,18.67,0.00,0.00,0.00,0.00,0.00,17.67
1432111050000,0.00,0.00,2.67,0.00,0.00,0.00,0.00,0.00,3.00
1432111053000,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.67
1432111056000,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,2.67
1432111059000,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.67
1432111062000,0.00,0.00,2.33,0.00,0.00,0.00,0.00,0.00,2.67
1432111065000,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.67
1432111068000,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.67
1432111071000,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,5.00
1432111074000,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.67
1432111077000,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.67
