timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1432111047000,0.00,20.60,78.74,0.00,0.00,0.00,0.00,0.00,0.33,0.33
1432111050000,0.00,11.82,87.16,0.00,0.00,0.00,0.00,0.00,0.68,0.34
1432111053000,0.00,19.05,77.89,0.34,0.00,0.00,0.00,0.00,2.04,0.68
1432111056000,0.00,28.19,66.78,0.00,0.00,0.00,0.00,0.00,3.69,1.34
1432111059000,0.00,24.16,71.14,0.00,0.00,0.00,0.00,0.00,3.02,1.68
1432111062000,0.00,36.73,57.48,0.00,0.00,0.00,0.00,0.00,4.08,1.70
1432111065000,0.00,42.76,52.86,0.00,0.00,0.00,0.00,0.00,3.03,1.35
1432111068000,0.00,37.71,57.24,0.00,0.00,0.00,0.00,0.00,3.70,1.35
1432111071000,0.00,38.05,56.90,0.00,0.00,0.00,0.00,0.00,3.03,2.02
1432111074000,0.00,41.81,53.85,0.00,0.00,0.00,0.00,0.00,3.68,0.67
1432111077000,0.00,21.14,75.17,0.00,0.00,0.00,0.00,0.00,2.68,1.01
