timestamp_ms,bond0-rx,em1-rx,em2-rx,em3-rx,em4-rx,lo-rx,rhev10g-rx,rhevm-rx,vnet0-rx
1432111047000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1432111050000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1432111053000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1432111056000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1432111059000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1432111062000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1432111065000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1432111068000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1432111071000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1432111074000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1432111077000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
