timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1432111047000,0.00,14.77,82.89,0.00,0.00,0.00,0.00,0.00,2.01,0.34
1432111050000,0.00,11.56,82.65,0.34,0.00,0.00,0.00,0.00,3.74,1.70
1432111053000,0.00,14.97,73.47,0.00,0.00,0.00,1.02,0.00,7.14,3.40
1432111056000,0.00,17.75,73.04,0.00,0.00,0.00,0.34,0.00,6.48,2.39
1432111059000,0.00,32.30,59.11,0.00,0.00,0.00,0.34,0.00,5.15,3.09
1432111062000,0.00,39.66,54.24,0.00,0.00,0.00,0.34,0.00,4.41,1.36
1432111065000,0.00,39.67,54.33,0.00,0.00,0.00,0.00,0.00,4.67,1.33
1432111068000,0.00,51.32,44.04,0.00,0.00,0.00,0.33,0.00,3.64,0.66
1432111071000,0.00,43.62,53.02,0.00,0.00,0.00,0.00,0.00,2.35,1.01
1432111074000,0.00,45.30,50.67,0.00,0.00,0.00,0.34,0.00,2.68,1.01
1432111077000,0.00,47.47,48.82,0.00,0.00,0.00,0.00,0.00,2.69,1.01
