timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1432111047000,0.00,21.33,78.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1432111050000,0.00,6.69,92.98,0.00,0.00,0.00,0.00,0.00,0.33,0.00
1432111053000,0.00,14.97,83.33,0.00,0.00,0.00,0.00,0.00,1.70,0.00
1432111056000,0.00,15.72,83.61,0.00,0.00,0.00,0.00,0.00,0.67,0.00
1432111059000,0.00,27.57,70.76,0.00,0.00,0.00,0.00,0.00,1.66,0.00
1432111062000,0.00,25.59,73.06,0.00,0.00,0.00,0.00,0.00,1.35,0.00
1432111065000,0.00,39.13,58.53,0.00,0.00,0.00,0.33,0.00,1.67,0.33
1432111068000,0.00,45.30,52.35,0.00,0.00,0.00,0.00,0.00,2.01,0.34
1432111071000,0.00,48.16,50.50,0.00,0.00,0.00,0.00,0.00,1.34,0.00
1432111074000,0.00,40.47,57.19,0.00,0.00,0.00,0.00,0.00,2.01,0.33
1432111077000,0.00,37.63,60.68,0.00,0.00,0.00,0.00,0.00,1.69,0.00
