timestamp_ms,cpu_00,cpu_01,cpu_02,cpu_03,cpu_04,cpu_05,cpu_06,cpu_07,cpu_08,cpu_09,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15,cpu_16,cpu_17,cpu_18,cpu_19,cpu_20,cpu_21,cpu_22,cpu_23,cpu_24,cpu_25,cpu_26,cpu_27,cpu_28,cpu_29,cpu_30,cpu_31
1432111047000,11.45,18.86,4.37,13.75,21.26,13.52,11,17.17,43.48,17.12,5.99,22.56,8.61,15.44,6.99,20.67,0.99,5.69,2.66,5.35,2,5.35,1.34,9.33,5.71,9.99,4,50.32,47.49,21.33,1.99,10.36
1432111050000,30.31,18.77,10.78,55.9,12.84,17.96,12.34,26.87,12.41,17,27.09,17.17,8.34,18.46,9.73,19.52,0,4,0.66,7.41,0,7.72,0,10.03,0,5.01,0.33,3.02,36.79,7.02,0,11.11
1432111053000,36.34,25.6,35.69,27.98,21.77,26.75,21,24.4,18.46,26.53,55.66,25.68,30.64,25,22.15,28.18,2,9.73,5.35,5,3.33,8.33,4.7,25.08,6.34,12.12,7.02,6.67,6.42,16.67,3.02,4.35
1432111056000,30.95,27.3,46.64,29.83,33.22,27.4,27.21,27.03,27.27,26.96,22.15,26.28,28.52,35.07,27.21,28.38,6.68,11.33,20,3.37,8.75,16.89,12.08,10.74,12.34,8.63,62.21,11.53,12.67,16.39,13.95,13.13
1432111059000,36.17,47.76,28.62,40.34,28.86,54.74,34.23,41.98,29.62,40.88,33.56,38.09,32.99,45.58,33.34,40.2,3,21.21,6.69,28.82,24.67,23.33,23.83,21.62,1,22.89,4.31,31.18,27.86,29.23,3.67,26.69
1432111062000,51.75,41.36,40.07,47.09,42.51,47.46,46.98,47.31,33.55,45.77,45.94,46.11,58,46.79,45.09,43.09,27.18,44.3,22.15,34.01,30.1,55.37,20.54,34.77,41.22,35.77,18.24,39.73,49.67,26.94,23.82,35.57
1432111065000,49.65,47.96,47.81,24.49,47.14,46.13,46.1,46.14,43.92,45.67,49.49,42.57,48.14,48.66,47.84,50.83,46.98,38.72,39.33,83.61,44.14,45.33,47.32,38.59,42,41.14,41.08,55.52,40.61,41.46,40.86,39.26
1432111068000,58.22,53.33,48.82,48.64,42.76,58.93,46.18,48.98,50.17,55.95,47.81,48.15,42.08,59.53,46.28,51.85,36.37,39.05,40.6,43.62,47.49,35.23,46.65,44.33,40.94,49.33,36.36,47.16,47.17,47.65,44.81,46.8
1432111071000,49.31,50.67,43.1,46.96,43.1,45.47,52.02,46.48,41.95,46.98,62.09,49.15,48.83,51.18,51.68,43.33,35.66,50.5,48.31,49.5,45.85,42.76,37.62,49.15,39.26,44.97,46.51,46.12,46.13,49.5,52.84,56.18
1432111074000,44.9,60.41,50.33,43.52,46.16,48.48,46,44.45,47.46,49.33,47.5,49.16,50.16,52.69,47.82,55.37,39.6,43.63,50.83,43,51.5,48.17,48.66,43.96,42.66,51,46.98,44.97,43.66,42.81,41.61,36.67
1432111077000,53.93,47.13,46.46,46.44,24.83,47.13,47.12,50.17,45.46,51.17,49.5,44.25,46.62,47.48,46.12,48.98,43.29,47.79,39.93,42.91,90.33,44.64,45.79,38.93,48.66,51.85,48.16,47.15,42.96,39.32,40.41,40.74
