timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1432111047000,0.00,20.54,77.44,0.00,0.00,0.00,0.00,0.00,1.35,0.67
1432111050000,0.00,12.46,82.49,0.34,0.00,0.00,0.00,0.00,3.70,1.01
1432111053000,0.00,15.07,74.32,0.00,0.00,0.00,0.68,0.00,7.19,2.74
1432111056000,0.00,17.75,73.72,0.00,0.00,0.00,0.68,0.00,5.80,2.05
1432111059000,0.00,29.59,61.90,0.00,0.00,0.00,0.68,0.00,5.78,2.04
1432111062000,0.00,40.34,53.90,0.00,0.00,0.00,0.34,0.00,4.41,1.02
1432111065000,0.00,37.84,57.43,0.00,0.00,0.00,0.34,0.00,3.38,1.01
1432111068000,0.00,43.14,51.84,0.00,0.00,0.00,0.00,0.00,4.01,1.00
1432111071000,0.00,46.44,50.85,0.00,0.00,0.00,0.00,0.00,2.37,0.34
1432111074000,0.00,44.15,50.84,0.00,0.00,0.00,0.33,0.00,3.34,1.34
1432111077000,0.00,40.88,55.74,0.00,0.00,0.00,0.00,0.00,2.36,1.01
