timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1432111047000,0.00,15.82,82.83,0.00,0.00,0.00,0.00,0.00,1.01,0.34
1432111050000,0.00,22.11,73.13,0.00,0.00,0.00,0.00,0.00,3.06,1.70
1432111053000,0.00,15.81,75.60,0.00,0.00,0.00,0.34,0.00,5.84,2.41
1432111056000,0.00,17.57,72.97,0.00,0.00,0.00,0.34,0.00,6.76,2.36
1432111059000,0.00,33.11,58.02,0.00,0.00,0.00,0.68,0.00,5.80,2.39
1432111062000,0.00,40.94,52.68,0.00,0.00,0.00,0.00,0.00,4.36,2.01
1432111065000,0.00,40.13,53.85,0.00,0.00,0.00,0.33,0.00,4.01,1.67
1432111068000,0.00,45.24,51.02,0.00,0.00,0.00,0.00,0.00,3.06,0.68
1432111071000,0.00,42.47,53.51,0.00,0.00,0.00,0.33,0.00,3.01,0.67
1432111074000,0.00,40.07,55.56,0.00,0.00,0.00,0.00,0.00,3.03,1.35
1432111077000,0.00,46.80,49.83,0.00,0.00,0.00,0.00,0.00,3.03,0.34
