timestamp_ms,fault_sec,majflt_sec,page_swaps_in_sec,page_swaps_out_sec,pgfree_sec,pgpgin_sec,pgpgout_sec,pgscand_sec,pgscank_sec,pgsteal_sec,vmeff_pct
1432111047000,20329.67,0.00,0.00,0.00,22212.33,10477.33,735.67,0.00,0.00,0.00,0.00
1432111050000,3249.67,0.00,0.00,0.00,79997.67,309273.33,2329.33,0.00,0.00,0.00,0.00
1432111053000,4983.00,0.00,0.00,0.00,41549.67,627269.33,6141.33,0.00,0.00,0.00,0.00
1432111056000,5012.67,0.00,0.00,0.00,18497.67,626240.00,11091.67,0.00,0.00,0.00,0.00
1432111059000,4395.00,0.00,0.00,0.00,17353.00,608386.67,19883.00,0.00,0.00,0.00,0.00
1432111062000,5765.67,0.00,0.00,0.00,17213.67,494588.00,37219.67,0.00,0.00,0.00,0.00
1432111065000,2902.33,0.00,0.00,0.00,14933.33,282674.67,49463.67,0.00,0.00,0.00,0.00
1432111068000,4829.67,0.00,0.00,0.00,18236.00,193840.00,52054.33,0.00,0.00,0.00,0.00
1432111071000,5399.00,0.00,0.00,0.00,15124.33,143538.67,54958.00,0.00,0.00,0.00,0.00
1432111074000,2963.00,0.00,0.00,0.00,13735.33,114625.33,55434.00,0.00,0.00,0.00,0.00
1432111077000,4260.67,0.00,0.00,0.00,16231.67,97277.33,58367.00,0.00,0.00,0.00,0.00
