timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1432111047000,0.00,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.33,1.67
1432111050000,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1432111053000,0.00,2.00,96.67,0.00,0.00,0.00,0.00,0.00,1.33,0.00
1432111056000,0.00,7.41,91.25,0.00,0.00,0.00,0.00,0.00,0.67,0.67
1432111059000,0.00,23.67,75.33,0.00,0.00,0.00,0.00,0.00,1.00,0.00
1432111062000,0.00,29.43,69.90,0.00,0.00,0.00,0.00,0.00,0.67,0.00
1432111065000,0.00,42.47,55.85,0.00,0.00,0.00,0.00,0.00,1.34,0.33
1432111068000,0.00,46.15,52.51,0.00,0.00,0.00,0.00,0.00,1.34,0.00
1432111071000,0.00,44.19,54.15,0.00,0.00,0.00,0.00,0.00,1.66,0.00
1432111074000,0.00,49.50,48.49,0.00,0.00,0.00,0.00,0.00,1.67,0.33
1432111077000,0.00,89.33,9.67,0.00,0.00,0.00,0.00,0.00,1.00,0.00
