"sampleid","foo","bar"
1,5789,6124
2,5945,6278
3,5584,5424
4,6384,5786
5,6061,5251
6,5476,6211
7,6131,5782
8,5959,6058
9,5465,5565
10,5869,5859
11,6419,5738
12,6147,6035
13,6084,5562
14,6269,5507
15,5661,5523
16,5629,5450
17,6195,5744
18,5431,5337
19,5383,6173
20,5543,6006
21,5523,5488
22,6518,5626
23,5587,5559
24,5607,5540
25,6227,6032
26,6384,6153
27,5417,5401
28,5632,6313
29,5667,6000
30,5693,5622
31,5744,6102
32,5644,5309
33,6221,5661
34,5930,5584
35,5642,5667
36,5529,5504
37,5799,5504
38,5609,5520
39,5370,5834
40,6108,5354
41,5590,5626
42,6051,5882
43,6314,6227
44,5626,5910
45,6089,5597
46,5341,6144
47,5446,6557
48,5504,5308
49,5735,5309
50,6362,5258
51,5856,5699
52,6215,5408
53,6419,5344
54,6531,5785
55,5882,5331
56,5507,5786
57,6179,5440
58,5590,5220
59,6298,5824
60,6032,5389
61,5356,6041
62,5859,6035
63,5399,5552
64,5443,5404
65,5356,5357
66,5334,5395
67,5696,5849
68,5395,5469
69,5446,6070
70,6172,5370
71,6089,5949
72,5824,6156
73,6109,6173
74,5801,5930
75,5609,6483
76,5636,5693
77,5507,6029
78,5430,5776
79,5459,6579
80,5431,5392
81,5392,5939
82,5514,5651
83,5830,5226
84,5437,5942
85,5344,6253
86,6201,5939
87,5731,5904
88,5556,5549
89,5786,5530
90,6010,6163
91,5357,5744
92,6169,5417
93,5860,6025
94,5926,5895
95,5504,6236
96,6214,5609
97,5386,5747
98,5277,6010
99,5351,5328
100,5495,5722
101,5747,6038
102,5200,5367
103,6262,5507
104,6279,5459
105,5766,5565
106,6054,5340
107,5612,5712
108,5805,6640
109,5478,5756
110,5433,5802
111,5396,5865
112,5325,5533
113,5891,5866
114,5565,6218
115,6375,5420
116,5786,6212
117,5674,5440
118,5504,5860
119,5738,5676
120,6060,5145
121,5494,5923
122,5958,5856
123,5738,5990
124,5655,5734
125,6231,5462
126,5946,5532
127,5741,6052
128,6316,6221
129,6301,5347
130,5450,5641
131,6016,5708
132,5360,5437
133,5603,5661
134,5735,6788
135,6266,5398
136,5453,5994
137,5575,6327
138,5731,5712
139,5817,5549
140,6099,5901
141,5754,6196
142,6064,5549
143,5836,5712
144,5722,5443
145,5603,5469
146,6025,5667
147,6128,6298
148,5869,5674
149,6090,5959
150,5830,5395
151,6058,5507
152,6448,5830
153,5853,5735
154,5200,6028
155,5648,5965
156,6016,6391
157,5676,5776
158,5898,6041
159,6361,5751
160,5516,6141
161,5927,6058
162,5444,5488
163,5920,5654
164,5696,5948
165,5616,5767
166,5773,5808
167,5706,5332
168,5459,5610
169,5197,5520
170,5664,6157
171,5414,5949
172,6243,5644
173,5405,5450
174,6580,5529
175,6986,5491
176,6106,5604
177,6148,6365
178,5580,5853
179,6221,5756
180,5338,5734
181,6109,5533
182,5360,5980
183,5322,5421
184,5568,5645
185,5847,6297
186,5373,5818
187,6224,6029
188,5331,6093
189,5786,5974
190,5229,5562
191,6220,5498
192,5754,6061
193,5952,6038
194,6301,5552
195,5376,6106
196,6141,6269
197,6144,5587
198,5600,6151
199,5914,5584
200,5968,5612
201,5811,5335
202,5747,5802
203,6320,5264
204,6342,5974
205,5917,5462
206,5459,5360
207,5702,5539
208,5974,5341
209,6743,5520
210,6422,5773
211,6042,5664
212,5933,6499
213,6304,5641
214,5824,5792
215,5654,5421
216,5747,6333
217,5638,5481
218,6022,5972
219,5460,5290
220,5696,5597
221,6224,6009
222,6534,6185
223,6243,5728
224,5590,5591
225,5302,5459
226,5898,6182
227,6220,5488
228,6192,5639
229,6275,5584
230,6096,5734
231,5478,5549
232,5347,6291
233,6512,5623
234,6058,5492
235,5677,6483
236,5673,6512
237,5786,5321
238,5920,5513
239,5613,6032
240,6250,5789
241,5408,6010
242,6064,6589
243,5542,5760
244,5463,5363
245,5978,5561
246,6253,5587
247,5965,5459
248,5155,6042
249,5837,5840
250,5491,5526
251,5651,5840
252,5911,5779
253,6199,5542
254,5488,5741
255,6544,6077
256,6192,5469
257,6317,5789
258,5331,5709
259,5385,5418
260,5939,5452
261,6019,5622
262,5600,5460
263,5652,5811
264,5847,5389
265,5562,5351
266,5354,5772
267,5434,5590
268,6496,5549
269,5671,5565
270,5728,5846
271,6374,5494
272,5546,5722
273,5721,5735
274,5530,5360
275,5520,5353
276,6208,5923
277,6217,5722
278,5517,5917
279,6166,5513
280,5561,5325
281,5642,5507
282,5405,5500
283,5936,5741
284,5459,6045
285,5434,6166
286,5898,5353
287,5456,6202
288,5719,5894
289,6787,5427
290,5587,5293
291,6199,5293
292,5718,6221
293,5619,6019
294,5318,5820
295,5658,5664
296,6055,5651
297,6144,5866
298,5731,5565
299,5523,5626
300,5917,5741
301,6211,6323
302,6253,5434
303,5833,6470
304,5446,5488
305,5808,5868
306,5849,5434
307,6230,5616
308,6096,5827
309,6243,6451
310,5405,5465
311,5533,5431
312,5721,6169
313,6387,5443
314,6112,5212
315,6355,5450
316,5975,5610
317,5484,5382
318,6224,5799
319,6349,5741
320,5507,5558
321,6070,5376
322,5348,5808
323,5261,5462
324,5879,6349
325,5370,5312
326,5738,5584
327,5456,5238
328,5500,5993
329,6647,6460
330,5331,5353
331,5427,5335
332,5402,6179
333,6275,6013
334,6266,5357
335,5514,6013
336,5699,5356
337,5568,5312
338,5328,6118
339,5817,5718
340,5341,5376
341,6153,5942
342,5456,5792
343,5619,6080
344,5741,5437
345,5607,5824
346,5312,6093
347,5881,5955
348,6320,5469
349,6359,6016
350,5267,6211
351,6115,5373
352,5414,5968
353,5821,5831
354,5488,6250
355,5677,5120
356,5293,5312
357,5456,5373
358,5549,6128
359,5667,5514
360,5120,5383
361,5929,5661
362,5216,5584
363,5837,6323
364,5846,5260
365,5302,5501
366,6307,6336
367,6102,5878
368,5984,5977
369,5539,5536
370,6035,5504
371,5808,5734
372,6397,6451
373,5251,5705
374,5712,6256
375,5264,5408
376,5379,6038
377,6461,5363
378,5833,5929
379,5847,5510
380,5728,5571
381,6067,5520
382,6246,6147
383,6358,5792
384,5408,5757
385,6227,5898
386,5568,5847
387,5357,5492
388,5466,6272
389,5763,5603
390,6314,5581
391,5699,5628
392,5408,5539
393,5463,5350
394,6086,5613
395,6032,5776
396,5510,5469
397,5542,5779
398,5750,5898
399,5450,5945
400,5430,6409
401,5965,5373
402,6038,5802
403,6243,5625
404,5731,5888
405,5680,5584
406,5270,6208
407,6426,5731
408,6006,5543
409,5904,5309
410,5469,5514
411,5936,5520
412,5917,5549
413,6013,6089
414,6316,6048
415,5754,5532
416,5600,6970
417,5360,5511
418,5690,6444
419,6355,5383
420,6192,6135
421,5817,5702
422,5833,5588
423,5450,6128
424,5300,5635
425,5756,5632
426,5494,5414
427,6090,5347
428,6064,5885
429,5440,5680
430,5581,5968
431,5405,6054
432,6323,5424
433,6038,5625
434,5898,5997
435,6292,5862
436,5488,5389
437,5859,6100
438,5859,5312
439,5222,5296
440,5648,5485
441,5613,5712
442,6269,6076
443,6083,5814
444,5296,5414
445,6406,5283
446,5366,6035
447,6003,5287
448,5821,6249
449,5613,5683
450,6362,5398
451,6221,5420
452,6406,5580
453,6220,6736
454,6071,6032
455,5498,5805
456,5552,5143
457,6266,5913
458,5684,5959
459,5751,6285
460,5830,5719
461,5689,5792
462,6442,6105
463,5725,6301
464,5632,5309
465,5508,6176
466,5657,5817
467,5959,5959
468,5552,6029
469,5421,5418
470,5677,6118
471,5639,5789
472,5818,5184
473,6189,5612
474,5834,5577
475,5504,5520
476,5565,6236
477,5789,5722
478,6333,5366
479,5619,6074
480,5580,6422
481,5933,5267
482,5507,5501
483,6476,5549
484,6416,5654
485,5481,5984
486,5978,5271
487,5654,5354
488,5533,5568
489,6262,5635
490,6125,5568
491,5379,5408
492,5859,5386
493,5574,5869
494,5613,5827
495,5562,6022
496,6121,5498
497,5510,5898
498,5850,6102
499,6375,5459
500,6180,5872
501,6266,5485
502,6365,5472
503,6204,5638
504,5923,5760
505,5910,5814
506,5543,5510
507,6381,6150
508,5690,6022
509,5273,6048
510,5277,5408
511,5613,5735
512,5511,6192
513,5348,5766
514,5670,5751
515,6172,5511
516,6061,5462
517,6128,5511
518,6000,6019
519,5315,5740
520,5302,5373
521,5341,6218
522,6611,6080
523,5370,6044
524,5815,5392
525,5779,6106
526,6070,5648
527,6339,5776
528,6096,5843
529,5911,5753
530,5584,5379
531,5606,5715
532,5498,5578
533,5997,5248
534,5581,5072
535,5411,5574
536,5300,6576
537,5168,5840
538,6310,5603
539,5961,5853
540,6093,5609
541,5360,5660
542,5642,5699
543,5366,6486
544,5312,5539
545,5485,5565
546,5642,6006
547,5814,5671
548,5815,5543
549,6221,6106
550,5843,5431
551,6112,6099
552,6323,6138
553,5562,5555
554,5373,5660
555,5283,5434
556,5763,5213
557,5769,6198
558,5526,5344
559,5955,5430
560,6397,5792
561,6038,5907
562,5753,5700
563,5984,5232
564,5568,5933
565,5580,5834
566,5500,5690
567,5414,5888
568,6227,5315
569,6528,6083
570,6118,5395
571,6051,5904
572,6036,5328
573,5466,6086
574,5738,6022
575,5869,5287
576,5255,6195
577,5382,5834
578,6372,5856
579,5370,6195
580,5248,5604
581,5715,5504
582,5923,5853
583,5673,5590
584,5552,5811
585,6736,5654
586,5552,5514
587,6224,5741
588,5913,5750
589,5991,5626
590,5824,5932
591,5610,5530
592,5783,5660
593,6153,5308
594,5292,5472
595,6083,5440
596,6137,6125
597,6202,6115
598,5197,6391
599,5421,5555
600,6349,5388
601,6016,5895
602,5623,5418
603,5468,6013
604,5863,5443
605,6544,5872
606,6140,5824
607,5414,6262
608,5328,5942
609,6266,5773
610,5482,5767
611,5680,6173
612,5462,6154
613,5517,5597
614,5796,6252
