timestamp_ms,dm-0-read,dm-0-write,dm-1-read,dm-1-write,dm-2-read,dm-2-write,dm-3-read,dm-3-write,dm-4-read,dm-4-write,dm-5-read,dm-5-write,dm-6-read,dm-6-write,sda-read,sda-write,sdb-read,sdb-write,sdc-read,sdc-write,sdd-read,sdd-write,sde-read,sde-write
1427215564000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215567000,0.00,0.00,4.09,4.09,0.00,0.00,0.00,0.00,4.07,4.07,0.00,0.00,2.00,2.00,4.32,4.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215570000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215573000,0.00,0.00,3.17,3.17,0.00,0.00,0.00,0.00,9.25,9.25,0.00,0.00,2.00,2.00,3.17,3.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215576000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215579000,0.00,0.00,2.62,2.62,0.00,0.00,0.00,0.00,1.67,1.67,0.00,0.00,2.00,2.00,2.10,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215582000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215585000,0.00,0.00,7.39,7.39,0.00,0.00,0.00,0.00,1.67,1.67,0.00,0.00,2.00,2.00,7.78,7.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215588000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215591000,0.00,0.00,2.62,2.62,0.00,0.00,0.00,0.00,17.11,17.11,0.00,0.00,16.58,16.58,2.48,2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215594000,0.00,0.00,19.83,19.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.92,21.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215597000,0.00,0.00,2.75,2.75,0.00,0.00,0.00,0.00,8.25,8.25,0.00,0.00,8.43,8.43,2.29,2.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215600000,0.00,0.00,16.03,16.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.04,20.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215603000,0.00,0.00,3.73,3.73,0.00,0.00,0.00,0.00,6.46,6.46,0.00,0.00,2.00,2.00,3.36,3.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215606000,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215609000,0.00,0.00,2.62,2.62,0.00,0.00,0.00,0.00,1.67,1.67,0.00,0.00,2.00,2.00,2.10,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215612000,0.00,0.00,2.50,2.50,0.00,0.00,0.00,0.00,1.67,1.67,0.00,0.00,2.00,2.00,2.08,2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215615000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215618000,0.00,0.00,3.12,3.12,0.00,0.00,0.00,0.00,5.87,5.87,0.00,0.00,2.00,2.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215621000,0.00,0.00,2.11,2.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.11,2.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1427215624000,0.00,0.00,2.50,2.50,0.00,0.00,0.00,0.00,1.67,1.67,0.00,0.00,2.00,2.00,2.08,2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
