timestamp_ms,pmcd.pmlogger.port["11200"]
1457460321000,4330.000
1457460322000,4330.000
1457460323000,4330.000
1457460324000,4330.000
1457460325000,4330.000
1457460326000,4330.000
1457460327000,4330.000
1457460328000,4330.000
1457460329000,4330.000
1457460330000,4330.000
1457460331000,4330.000
1457460332000,4330.000
1457460333000,4330.000
1457460334000,4330.000
1457460335000,4330.000
1457460336000,4330.000
1457460337000,4330.000
1457460338000,4330.000
1457460339000,4330.000
1457460340000,4330.000
1457460341000,4330.000
1457460342000,4330.000
1457460343000,4330.000
1457460344000,4330.000
1457460345000,4330.000
1457460346000,4330.000
1457460347000,4330.000
1457460348000,4330.000
1457460349000,4330.000
1457460350000,4330.000
1457460351000,4330.000
1457460352000,4330.000
1457460353000,4330.000
1457460354000,4330.000
1457460355000,4330.000
1457460356000,4330.000
1457460357000,4330.000
1457460358000,4330.000
1457460359000,4330.000
1457460360000,4330.000
1457460361000,4330.000
1457460362000,4330.000
1457460363000,4330.000
1457460364000,4330.000
1457460365000,4330.000
1457460366000,4330.000
1457460367000,4330.000
1457460368000,4330.000
1457460369000,4330.000
1457460370000,4330.000
1457460371000,4330.000
1457460372000,4330.000
1457460373000,4330.000
1457460374000,4330.000
1457460375000,4330.000
1457460376000,4330.000
1457460377000,4330.000
1457460378000,4330.000
