timestamp_ms,mem.util.cached
1457460322000,3066892.000
1457460323000,3066892.000
1457460324000,3066892.000
1457460325000,3067672.000
1457460326000,3067672.000
1457460327000,3067672.000
1457460328000,3067760.000
1457460329000,3067760.000
1457460330000,3067760.000
1457460331000,3067864.000
1457460332000,3067864.000
1457460333000,3067864.000
1457460334000,3067956.000
1457460335000,3067956.000
1457460336000,3067956.000
1457460337000,3068064.000
1457460338000,3068064.000
1457460339000,3068064.000
1457460340000,3064444.000
1457460341000,3064444.000
1457460342000,3064444.000
1457460343000,3064540.000
1457460344000,3064540.000
1457460345000,3064540.000
1457460346000,3064640.000
1457460347000,3064640.000
1457460348000,3064640.000
1457460349000,3066180.000
1457460350000,3066180.000
1457460351000,3066180.000
1457460352000,3066268.000
1457460353000,3066268.000
1457460354000,3066268.000
1457460355000,3066372.000
1457460356000,3066372.000
1457460357000,3066372.000
1457460358000,3066468.000
1457460359000,3066468.000
1457460360000,3066468.000
1457460361000,3064620.000
1457460362000,3064620.000
1457460363000,3064620.000
1457460364000,3066160.000
1457460365000,3066160.000
1457460366000,3066160.000
1457460367000,3066256.000
1457460368000,3066256.000
1457460369000,3066256.000
1457460370000,3065400.000
1457460371000,3065400.000
1457460372000,3065400.000
1457460373000,3065504.000
1457460374000,3065504.000
1457460375000,3065504.000
1457460376000,3065596.000
1457460377000,3065596.000
1457460378000,3065596.000
