timestamp_ms,kernel.all.cpu.idle
1457460323000,7684.000
1457460324000,7684.000
1457460325000,7823.000
1457460326000,7825.000
1457460327000,7825.000
1457460328000,7830.000
1457460329000,7830.000
1457460330000,7830.000
1457460331000,7821.000
1457460332000,7821.000
1457460333000,7821.000
1457460334000,7806.000
1457460335000,7806.000
1457460336000,7806.000
1457460337000,7791.000
1457460338000,7791.000
1457460339000,7790.000
1457460340000,7794.000
1457460341000,7793.000
1457460342000,7793.000
1457460343000,7839.000
1457460344000,7839.000
1457460345000,7839.000
1457460346000,7755.000
1457460347000,7753.000
1457460348000,7754.000
1457460349000,7763.000
1457460350000,7764.000
1457460351000,7764.000
1457460352000,7796.000
1457460353000,7796.000
1457460354000,7796.000
1457460355000,7836.000
1457460356000,7836.000
1457460357000,7837.000
1457460358000,7837.000
1457460359000,7836.000
1457460360000,7837.000
1457460361000,7812.000
1457460362000,7810.000
1457460363000,7811.000
1457460364000,7797.000
1457460365000,7797.000
1457460366000,7796.000
1457460367000,7786.000
1457460368000,7786.000
1457460369000,7785.000
1457460370000,7843.000
1457460371000,7843.000
1457460372000,7844.000
1457460373000,7825.000
1457460374000,7824.000
1457460375000,7824.000
1457460376000,7849.000
1457460377000,7850.000
1457460378000,7849.000
