timestamp_ms,hinv.nfilesys
1457460322000,3.000
1457460323000,3.000
1457460324000,3.000
1457460325000,3.000
1457460326000,3.000
1457460327000,3.000
1457460328000,3.000
1457460329000,3.000
1457460330000,3.000
1457460331000,3.000
1457460332000,3.000
1457460333000,3.000
1457460334000,3.000
1457460335000,3.000
1457460336000,3.000
1457460337000,3.000
1457460338000,3.000
1457460339000,3.000
1457460340000,3.000
1457460341000,3.000
1457460342000,3.000
1457460343000,3.000
1457460344000,3.000
1457460345000,3.000
1457460346000,3.000
1457460347000,3.000
1457460348000,3.000
1457460349000,3.000
1457460350000,3.000
1457460351000,3.000
1457460352000,3.000
1457460353000,3.000
1457460354000,3.000
1457460355000,3.000
1457460356000,3.000
1457460357000,3.000
1457460358000,3.000
1457460359000,3.000
1457460360000,3.000
1457460361000,3.000
1457460362000,3.000
1457460363000,3.000
1457460364000,3.000
1457460365000,3.000
1457460366000,3.000
1457460367000,3.000
1457460368000,3.000
1457460369000,3.000
1457460370000,3.000
1457460371000,3.000
1457460372000,3.000
1457460373000,3.000
1457460374000,3.000
1457460375000,3.000
1457460376000,3.000
1457460377000,3.000
1457460378000,3.000
