timestamp_ms,mem.util.free
1457460324000,1383860.000
1457460327000,1384372.000
1457460330000,1383516.000
1457460333000,1382768.000
1457460336000,1382140.000
1457460339000,1381380.000
1457460342000,1379040.000
1457460345000,1385300.000
1457460348000,1384480.000
1457460351000,1381504.000
1457460354000,1380868.000
1457460357000,1378092.000
1457460360000,1379408.000
1457460363000,1380384.000
1457460366000,1379440.000
1457460369000,1373184.000
1457460372000,1377992.000
1457460375000,1376008.000
1457460378000,1375140.000
