timestamp_ms,hinv.map.scsi["scsi0:0:0:0 Direct-Access"],hinv.map.scsi["scsi1:0:0:0 CD-ROM"]
1457460324000,"sda","sr0"
1457460327000,"sda","sr0"
1457460330000,"sda","sr0"
1457460333000,"sda","sr0"
1457460336000,"sda","sr0"
1457460339000,"sda","sr0"
1457460342000,"sda","sr0"
1457460345000,"sda","sr0"
1457460348000,"sda","sr0"
1457460351000,"sda","sr0"
1457460354000,"sda","sr0"
1457460357000,"sda","sr0"
1457460360000,"sda","sr0"
1457460363000,"sda","sr0"
1457460366000,"sda","sr0"
1457460369000,"sda","sr0"
1457460372000,"sda","sr0"
1457460375000,"sda","sr0"
1457460378000,"sda","sr0"
