timestamp_ms,hinv.cpu.cache["cpu0"],hinv.cpu.cache["cpu1"],hinv.cpu.cache["cpu2"],hinv.cpu.cache["cpu3"],hinv.cpu.cache["cpu4"],hinv.cpu.cache["cpu5"],hinv.cpu.cache["cpu6"],hinv.cpu.cache["cpu7"]
1457460324000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000
1457460327000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000
1457460330000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000
1457460333000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000
1457460336000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000
1457460339000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000
1457460342000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000
1457460345000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000
1457460348000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000
1457460351000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000
1457460354000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000
1457460357000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000
1457460360000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000
1457460363000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000
1457460366000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000
1457460369000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000
1457460372000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000
1457460375000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000
1457460378000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000,6144.000
