timestamp_ms,hinv.hugepagesize
1457460324000,2097152.000
1457460327000,2097152.000
1457460330000,2097152.000
1457460333000,2097152.000
1457460336000,2097152.000
1457460339000,2097152.000
1457460342000,2097152.000
1457460345000,2097152.000
1457460348000,2097152.000
1457460351000,2097152.000
1457460354000,2097152.000
1457460357000,2097152.000
1457460360000,2097152.000
1457460363000,2097152.000
1457460366000,2097152.000
1457460369000,2097152.000
1457460372000,2097152.000
1457460375000,2097152.000
1457460378000,2097152.000
