timestamp_ms,kernel.all.load["1 minute"],kernel.all.load["5 minute"],kernel.all.load["15 minute"]
1457460324000,0.120,0.250,0.260
1457460327000,0.110,0.240,0.260
1457460330000,0.180,0.260,0.270
1457460333000,0.180,0.260,0.270
1457460336000,0.160,0.250,0.260
1457460339000,0.160,0.250,0.260
1457460342000,0.150,0.250,0.260
1457460345000,0.140,0.240,0.260
1457460348000,0.140,0.240,0.260
1457460351000,0.130,0.240,0.260
1457460354000,0.130,0.240,0.260
1457460357000,0.120,0.240,0.260
1457460360000,0.110,0.230,0.260
1457460363000,0.110,0.230,0.260
1457460366000,0.100,0.230,0.260
1457460369000,0.100,0.230,0.260
1457460372000,0.090,0.220,0.250
1457460375000,0.080,0.220,0.250
1457460378000,0.080,0.220,0.250
