timestamp_ms,kernel.all.cpu.vuser
1457460323000,163.000
1457460324000,163.000
1457460325000,102.000
1457460326000,100.000
1457460327000,100.000
1457460328000,103.000
1457460329000,103.000
1457460330000,104.000
1457460331000,106.000
1457460332000,107.000
1457460333000,107.000
1457460334000,123.000
1457460335000,123.000
1457460336000,123.000
1457460337000,143.000
1457460338000,144.000
1457460339000,143.000
1457460340000,133.000
1457460341000,134.000
1457460342000,133.000
1457460343000,98.000
1457460344000,96.000
1457460345000,97.000
1457460346000,149.000
1457460347000,150.000
1457460348000,150.000
1457460349000,124.000
1457460350000,123.000
1457460351000,123.000
1457460352000,150.000
1457460353000,150.000
1457460354000,150.000
1457460355000,98.000
1457460356000,96.000
1457460357000,97.000
1457460358000,90.000
1457460359000,90.000
1457460360000,90.000
1457460361000,113.000
1457460362000,113.000
1457460363000,114.000
1457460364000,152.000
1457460365000,153.000
1457460366000,154.000
1457460367000,107.000
1457460368000,107.000
1457460369000,107.000
1457460370000,110.000
1457460371000,110.000
1457460372000,110.000
1457460373000,97.000
1457460374000,96.000
1457460375000,97.000
1457460376000,113.000
1457460377000,113.000
1457460378000,114.000
