timestamp_ms,mem.util.bufmem
1457460322000,462256.000
1457460323000,462256.000
1457460324000,462256.000
1457460325000,462260.000
1457460326000,462260.000
1457460327000,462260.000
1457460328000,462264.000
1457460329000,462264.000
1457460330000,462264.000
1457460331000,462272.000
1457460332000,462272.000
1457460333000,462272.000
1457460334000,462276.000
1457460335000,462276.000
1457460336000,462276.000
1457460337000,462280.000
1457460338000,462280.000
1457460339000,462280.000
1457460340000,462288.000
1457460341000,462288.000
1457460342000,462288.000
1457460343000,462296.000
1457460344000,462296.000
1457460345000,462296.000
1457460346000,462304.000
1457460347000,462304.000
1457460348000,462304.000
1457460349000,462308.000
1457460350000,462308.000
1457460351000,462308.000
1457460352000,462320.000
1457460353000,462320.000
1457460354000,462320.000
1457460355000,462320.000
1457460356000,462320.000
1457460357000,462320.000
1457460358000,462320.000
1457460359000,462320.000
1457460360000,462320.000
1457460361000,462328.000
1457460362000,462328.000
1457460363000,462328.000
1457460364000,462328.000
1457460365000,462328.000
1457460366000,462328.000
1457460367000,462328.000
1457460368000,462328.000
1457460369000,462328.000
1457460370000,462344.000
1457460371000,462344.000
1457460372000,462344.000
1457460373000,462344.000
1457460374000,462344.000
1457460375000,462344.000
1457460376000,462360.000
1457460377000,462360.000
1457460378000,462360.000
