timestamp_ms,hinv.cpu.stepping["cpu0"],hinv.cpu.stepping["cpu1"],hinv.cpu.stepping["cpu2"],hinv.cpu.stepping["cpu3"],hinv.cpu.stepping["cpu4"],hinv.cpu.stepping["cpu5"],hinv.cpu.stepping["cpu6"],hinv.cpu.stepping["cpu7"]
1457460324000,"9","9","9","9","9","9","9","9"
1457460327000,"9","9","9","9","9","9","9","9"
1457460330000,"9","9","9","9","9","9","9","9"
1457460333000,"9","9","9","9","9","9","9","9"
1457460336000,"9","9","9","9","9","9","9","9"
1457460339000,"9","9","9","9","9","9","9","9"
1457460342000,"9","9","9","9","9","9","9","9"
1457460345000,"9","9","9","9","9","9","9","9"
1457460348000,"9","9","9","9","9","9","9","9"
1457460351000,"9","9","9","9","9","9","9","9"
1457460354000,"9","9","9","9","9","9","9","9"
1457460357000,"9","9","9","9","9","9","9","9"
1457460360000,"9","9","9","9","9","9","9","9"
1457460363000,"9","9","9","9","9","9","9","9"
1457460366000,"9","9","9","9","9","9","9","9"
1457460369000,"9","9","9","9","9","9","9","9"
1457460372000,"9","9","9","9","9","9","9","9"
1457460375000,"9","9","9","9","9","9","9","9"
1457460378000,"9","9","9","9","9","9","9","9"
