timestamp_ms,hinv.ncpu
1457460322000,8.000
1457460323000,8.000
1457460324000,8.000
1457460325000,8.000
1457460326000,8.000
1457460327000,8.000
1457460328000,8.000
1457460329000,8.000
1457460330000,8.000
1457460331000,8.000
1457460332000,8.000
1457460333000,8.000
1457460334000,8.000
1457460335000,8.000
1457460336000,8.000
1457460337000,8.000
1457460338000,8.000
1457460339000,8.000
1457460340000,8.000
1457460341000,8.000
1457460342000,8.000
1457460343000,8.000
1457460344000,8.000
1457460345000,8.000
1457460346000,8.000
1457460347000,8.000
1457460348000,8.000
1457460349000,8.000
1457460350000,8.000
1457460351000,8.000
1457460352000,8.000
1457460353000,8.000
1457460354000,8.000
1457460355000,8.000
1457460356000,8.000
1457460357000,8.000
1457460358000,8.000
1457460359000,8.000
1457460360000,8.000
1457460361000,8.000
1457460362000,8.000
1457460363000,8.000
1457460364000,8.000
1457460365000,8.000
1457460366000,8.000
1457460367000,8.000
1457460368000,8.000
1457460369000,8.000
1457460370000,8.000
1457460371000,8.000
1457460372000,8.000
1457460373000,8.000
1457460374000,8.000
1457460375000,8.000
1457460376000,8.000
1457460377000,8.000
1457460378000,8.000
