timestamp_ms,kernel.all.cpu.sys
1457460323000,103.000
1457460324000,104.000
1457460325000,44.000
1457460326000,44.000
1457460327000,43.000
1457460328000,30.000
1457460329000,30.000
1457460330000,30.000
1457460331000,30.000
1457460332000,30.000
1457460333000,30.000
1457460334000,30.000
1457460335000,30.000
1457460336000,30.000
1457460337000,34.000
1457460338000,33.000
1457460339000,33.000
1457460340000,37.000
1457460341000,37.000
1457460342000,36.000
1457460343000,24.000
1457460344000,23.000
1457460345000,23.000
1457460346000,40.000
1457460347000,40.000
1457460348000,40.000
1457460349000,34.000
1457460350000,33.000
1457460351000,33.000
1457460352000,34.000
1457460353000,33.000
1457460354000,33.000
1457460355000,30.000
1457460356000,30.000
1457460357000,30.000
1457460358000,34.000
1457460359000,33.000
1457460360000,33.000
1457460361000,34.000
1457460362000,33.000
1457460363000,33.000
1457460364000,37.000
1457460365000,37.000
1457460366000,36.000
1457460367000,34.000
1457460368000,33.000
1457460369000,33.000
1457460370000,30.000
1457460371000,30.000
1457460372000,30.000
1457460373000,27.000
1457460374000,27.000
1457460375000,26.000
1457460376000,30.000
1457460377000,30.000
1457460378000,30.000
