timestamp_ms,collapse_alloc,collapse_alloc_failed,fault_alloc,fault_fallback,split,zero_page_alloc,zero_page_alloc_failed
1424904532773.33,0,0,0,0,0,0,0
1424904536494.3,0,0,0,0,0,0,0
1424904539496.22,0,0,0,0,0,0,0
1424904542498.77,0,0.333050235212663,0,0,0,0,0
1424904545501.49,0,0,0,0,0,0,0
1424904548503.96,0,0,0,0,0,0,0
1424904551507.05,0,0.332990343523927,0,0,0,0,0
1424904554510.21,0,0,0,0,0,0,0
1424904557514.29,0,0,0,0,0,0,0
1424904560518.43,0,0,0,0,0,0,0
1424904563523.43,0,0,0,0,0,0,0
1424904566530.44,0,0,0,0,0,0,0
1424904569533.69,0,0,0,0,0,0,0
1424904572537.37,0,0,0,0,0,0,0
1424904575540.38,0,0,0,0,0,0,0
1424904578543.04,0,0,0,0,0,0,0
1424904581546.47,0,0,0,0,0,0,0
1424904584549.76,0,0,0,0,0,0,0
1424904587552.57,0,0,0,0,0,0,0
1424904590555.04,0,0,0,0,0,0,0
1424904593559.05,0,0,0,0,0,0,0
