timestamp_ms,active_anon,active_file,alloc_batch,anon_pages,anon_transparent_hugepages,bounce,dirtied,dirty,dirty_background_threshold,dirty_threshold,file_pages,free_cma,free_pages,inactive_anon,inactive_file,isolated_anon,isolated_file,kernel_stack,mapped,mlock,page_table_pages,shmem,slab_reclaimable,slab_unreclaimable,unevictable,unstable,vmscan_immediate_reclaim,vmscan_write,writeback,writeback_temp,written
1424904532773.33,225.270001402398,-35105.607570211,-560.07794849395,-5219.35270977191,0,0,134.640391576252,-66.8311871020139,-7227.87438653049,-14455.748773061,15730.1054090696,0,-8549.17585640591,74008.5305909794,-28623.3084271064,0,0,13.6922432111443,1112.00575221936,0,-27.0584806315471,75139.4446790618,-4018.02137088937,854.787183324294,0,0,0.326005790741531,7903.0323791562,3072.27857194819,0,5032.22538588627
1424904536494.3,47.2994948590629,32.5184027156058,49.9869661578733,44.8807706901336,0,0,46.7620005993008,12.3623679745278,121.204955576349,242.409911152698,552.006604775655,0,836.609815319675,152.110875512668,341.846349208682,0,0,0.268747129881039,2.41872416892935,0,12.8998622342899,136.792289109449,-7.25617250678806,-714.867365483565,0,0,0,0,-2532.67295199891,0,2574.32875713048
1424904539496.22,38.6419368333937,83.2800362788658,197.54024605347,38.6419368333937,0,0,36.3100958175855,23.9846504483134,-3.33120145115463,-6.3292827571938,709.879029241052,0,-781.832980585992,10.3267244985794,666.906530521157,0,0,12.9916856595031,4.99680217673195,0,10.9929647888103,4.33056188650102,0,-32.6457742213154,0,0,0,0,0,0,3.33120145115463
1424904542498.77,55.2863390453021,44.9617817537095,-788.662956983586,97.5837189173103,0,0,109.906577620179,18.9838634071218,45.6278822241348,90.922714213057,-313.400271335116,0,490.916046703465,-235.13346606014,-81.2642573918898,0,0,0,-0.999150705637989,0,-4.66270329297728,1.99830141127598,-41.2982291663702,-3.66355258733929,0,0,0,0,0,0,90.922714213057
1424904545501.49,118.559174173221,104.571855871886,-245.444133049617,116.560985844459,0,0,244.778070273363,54.284116264705,-24.9773541095268,-49.6216768309267,83.9239098080102,0,-331.366231186389,3.66334526939727,-19.9818832876215,0,0,0,31.9710132601944,0,-6.32759637441347,-3.66334526939727,-6.99365915066751,20.3149146757485,0,0,0,0,0,0,190.493954008658
1424904548503.96,95.5879668407773,14.9876603060452,430.312380342454,95.5879668407773,0,0,15.9868376597816,-30.9744979658268,7.99341882989079,15.9868376597816,-156.204726300782,0,68.6101782898959,-168.860972781443,-3.66365029703328,0,0,-1.66529558956058,0,0,3.33059117912116,-167.861795427707,0,-17.31907413143,0,0,0,0,0,0,46.9613356256084
1424904551507.05,-11.3216716798135,11.6546620233375,842.465569115536,-11.3216716798135,0,0,11.3216716798135,10.9886813362896,-9.65671996219389,-19.6464302679117,202.458128862548,0,-110.885784393468,165.829191074916,0.332990343523927,0,0,-6.32681652695462,0,0,-5.66083583990676,190.80346683921,0,0,0,0,0,0,0,0,0.332990343523927
1424904554510.21,-13.6522866580229,23.9747473018938,-966.315509306888,-14.6512344622685,0,0,67.595468087284,-53.2772162264308,13.9852692594381,27.9705385188762,-140.851640398626,0,107.220397655692,-159.165683476462,8.32456503537981,0,0,-8.657547636795,0.665965202830385,0,-5.66070422405827,-173.1509527359,-0.332982601415192,-6.32666942688865,0,0,0,0,0,0,120.5397017123
1424904557514.29,0.998641821116984,13.9809854956378,320.564024578552,1.99728364223397,0,0,20.3057170293787,17.9755527801057,-19.9728364223397,-39.9456728446793,160.448452592795,0,-212.710707897918,151.793556809782,-0.332880607038995,0,0,0,0.332880607038995,0,1.66440303519497,148.464750739392,0,3.99456728446793,0,0,0,0,0,0,2.33016424927296
1424904560518.43,46.6023570825969,486.994631513137,318.560398057466,46.6023570825969,0,0,14.9793290622633,-35.2846417911091,-72.5665274571866,-145.133054914373,1514.90947916356,0,-1641.06871726573,802.226289778989,240.335012954535,0,0,0,515.95466770018,0,0.998621937484219,788.911330612533,0,0,0,0,0,0,0,0,50.2639708533723
1424904563523.43,3.66056572379368,15.3078202995008,40.5990016638935,5.65723793677205,0,0,149.417637271215,147.753743760399,9.31780366056572,18.9683860232945,5.99001663893511,0,83.1946755407654,-131.114808652246,79.5341098169717,0,0,0,13.3111480865225,0,0,-99.5008319467554,0,-2.32945091514143,0,0,0,0,0,0,1.66389351081531
1424904566530.44,-132.689947390996,29.9300633212774,-164.947904526151,-134.685284945748,0,0,15.9627004380146,-78.1507208944464,4.65578762775426,9.31157525550851,844.027785660021,0,-748.916695550184,820.74884752125,15.6301441788893,0,0,0,-5.98601266425547,0,-0.332556259125304,809.109378451865,-0.332556259125304,0,0,0,0,0,0,0,94.113421332461
1424904569533.69,-7261.46674436028,128.527428618996,-377.590943144926,-7982.68542412387,0,0,48.9469741113793,-97.2280029967535,753.184050611837,1506.36810122367,-258.053775077,0,8265.37917256306,-1111.46258220261,-7.32539748605677,0,0,-0.665945226005161,-419.545492383251,0,-135.51985349205,-412.220094897195,0,1.6648630650129,0,0,0,0,28.3026721052193,0,117.872305002914
1424904572537.37,-45.2777899246969,89.88972999756,114.193249589493,-46.2765647024475,0,0,32.2937178139382,25.9681442215173,176.117285810034,352.234571620068,-1546.10335595803,0,1627.33703788175,-1679.27332632479,44.6119400728631,0,0,-1.99754955550133,-626.231785649668,0,-28.6315436288524,-1675.94407706562,-0.332924925916889,-2.996324333252,0,0,0,0,-28.2986187029355,0,34.6241922953564
