timestamp_ms,foreign,hint_faults,hint_faults_local,hit,huge_pte_updates,interleave,local,miss,other,pages_migrated,pte_updates
1424904532773.33,0,0,0,94855.6228915281,0,0,94855.6228915281,0,0,0,0
1424904536494.3,0,0,0,4454.21493064835,0,0,4454.21493064835,0,0,0,0
1424904539496.22,0,0,0,5543.11921472131,0,0,5543.11921472131,0,0,0,0
1424904542498.77,0,0,0,2819.60329131041,0,0,2819.60329131041,0,0,0,0
1424904545501.49,0,0,0,3111.84529065892,0,0,3111.84529065892,0,0,0,0
1424904548503.95,0,0,0,2371.0557651457,0,0,2371.0557651457,0,0,0,0
1424904551507.05,0,0,0,2552.02948645678,0,0,2552.02948645678,0,0,0,0
1424904554510.21,0,0,0,2460.74142445827,0,0,2460.74142445827,0,0,0,0
1424904557514.29,0,0,0,2496.9374333995,0,0,2496.9374333995,0,0,0,0
1424904560518.43,0,0,0,4755.10479232069,0,0,4755.10479232069,0,0,0,0
1424904563523.43,0,0,0,2852.57903494176,0,0,2852.57903494176,0,0,0,0
1424904566530.44,0,0,0,4236.10162873812,0,0,4236.10162873812,0,0,0,0
1424904569533.69,0,0,0,3313.41047198868,0,0,3313.41047198868,0,0,0,0
1424904572537.37,0,0,0,2700.02114918597,0,0,2700.02114918597,0,0,0,0
1424904575540.38,0,0,0,2104.88825989031,0,0,2104.88825989031,0,0,0,0
1424904578543.04,0,0,0,2758.88697652212,0,0,2758.88697652212,0,0,0,0
1424904581546.47,0,0,0,3377.8047868286,0,0,3377.8047868286,0,0,0,0
1424904584549.76,0,0,0,2746.98743467857,0,0,2746.98743467857,0,0,0,0
1424904587552.57,0,0,0,2552.27598497826,0,0,2552.27598497826,0,0,0,0
1424904590555.04,0,0,0,2103.60138873293,0,0,2103.60138873293,0,0,0,0
1424904593559.05,0,0,0,2486.3432464337,0,0,2486.3432464337,0,0,0,0
