timestamp_ms,dma,dma32,movable,normal
1424904532773.33,0,22928.9652802241,0,14129.4169765287
1424904536494.3,0,0,0,0
1424904539496.22,0,0,0,0
1424904542498.77,0,11.3237079972305,0,70.6066498650846
1424904545501.49,0,0,0,0
1424904548503.95,0,0,0,0
1424904551507.05,0,0,0,0
1424904554510.21,0,0,0,0
1424904557514.29,0,0,0,0
1424904560518.43,0,0,0,0
1424904563523.43,0,0,0,0
1424904566530.44,0,0,0,0
1424904569533.69,0,0,0,0
1424904572537.37,0,0,0,0
1424904575540.38,0,0,0,0
1424904578543.04,0,0,0,0
1424904581546.47,0,0,0,0
1424904584549.76,0,0,0,0
1424904587552.57,0,0,0,0
1424904590555.04,0,0,0,0
1424904593559.05,0,0,0,0
