timestamp_ms,dma,dma32,movable,normal
1424904532773.33,0,54843.628170657,0,40991.6421220494
1424904536494.3,0,1955.67286414432,0,2634.52811422383
1424904539496.22,0,2379.14407641464,0,3121.66887987701
1424904542498.77,0,979.833791995655,0,1874.73977401208
1424904545501.49,0,1439.361659485,0,1657.16418732007
1424904548503.95,0,742.724309070785,0,1710.59733246079
1424904551507.05,0,1058.2397844415,0,1479.13817573604
1424904554510.21,0,922.694788521498,0,1533.05189691555
1424904557514.29,0,877.140399547751,0,1637.43970602481
1424904560518.43,0,1746.92264263906,0,3000.19317418175
1424904563523.43,0,1177.70382695507,0,1685.19134775374
1424904566530.44,0,796.804796864228,0,3456.58975734841
1424904569533.69,0,1402.14767335387,0,1956.88004661617
1424904572537.37,0,1046.7159670827,0,1695.58664769471
1424904575540.38,0,1171.49136185637,0,914.748940028266
1424904578543.04,0,552.510078953428,0,2169.40967709622
1424904581546.47,0,1426.70216969547,0,2027.0158247622
1424904584549.76,0,1024.21010291773,0,1701.13440045731
1424904587552.57,0,1136.93504863202,0,1489.60470782982
1424904590555.04,0,954.214372818213,0,1102.75873940702
1424904593559.05,0,815.909398448119,0,1693.07025724485
