timestamp_ms,guest,idle,iowait,irq,nice,softirq,steal,sys,usr
1431993606000,0.00,99.97,0.00,0.00,0.00,0.00,0.00,0.03,0.01
1431993616000,0.00,99.96,0.00,0.00,0.00,0.00,0.00,0.03,0.01
1431993626000,0.00,99.96,0.00,0.00,0.00,0.00,0.00,0.03,0.01
1431993636000,0.00,99.97,0.00,0.00,0.00,0.00,0.00,0.02,0.01
1431993646000,0.00,99.96,0.00,0.00,0.00,0.00,0.00,0.03,0.01
1431993656000,0.00,99.97,0.00,0.00,0.00,0.00,0.00,0.02,0.01
1431993666000,0.00,99.97,0.00,0.00,0.00,0.00,0.00,0.02,0.01
1431993676000,0.00,99.96,0.00,0.00,0.00,0.00,0.00,0.03,0.01
1431993686000,0.00,99.97,0.00,0.00,0.00,0.00,0.00,0.03,0.01
1431993696000,0.00,99.97,0.00,0.00,0.00,0.00,0.00,0.03,0.01
