sadc 3 -z -S XALL /var/lib/pbench/fio__2015-02-25_17:48:47/1-randrw-64KiB/reference-result/tools-default/sar/sar.data
1424904533,0.00,0.00,0.00,0.00,7,23.86,0.00,107964,1948,0.02,0.00,0.00,0.00,0,0.33,0.00
1424904535,,,,,0,24.33,,,,,,16.00,,73,1.00,0.33
1424904538,,,,,,,,,,,,6.67,,0,0.33,0.00
1424904541,,,,,,,,,,,,8.00,,,,
1424904544,,0.33,,0.33,,,,,,,,6.67,,,,
1424904547,,0.00,,0.00,,,,,,,,,,,,
1424904550
1424904553,,0.33,,0.33,,,,,,,,8.00,,,,
1424904556,0.33,0.00,,,,,,,,,,6.67,,,,
1424904559,0.00,,,0.00,,,,,,,,8.00,,,,
1424904562,,,,,,,,,,,,6.67,,,,
1424904565,,0.33,,0.33,,,,,,,,,,,,
1424904568,,0.00,,0.00,,,,,,,,8.00,,,,
1424904571,,,,,2,24.25,,,,,,6.64,,,,
1424904574,,,,,,24.41,,,,,,6.69,,,,
1424904577,,0.33,,0.33,,24.25,,,,,,7.97,,,,
1424904580,,0.00,,0.00,,24.33,,,,,,8.00,,,,
1424904583,,,,,,,,,,,,6.67,,,,
1424904586
1424904589,,0.33,,0.33,,,,,,,,8.00,,,,
1424904592,,0.00,,0.00,,,,,,,,6.67,,,,
