timestamp_ms,in_KiB,out_KiB
1424373920000,0,0
1424373980000,0,0
1424374040000,0,0
1424374100000,0,0
1424374160000,0,0
1424374220000,0,0
1424374280000,0,0
1424374340000,0,0
1424374400000,0,0
1424374460000,0,0
1424374520000,0,0
1424374580000,0,0
1424374640000,0,0
1424374700000,0,0
1424374760000,0,0
1424374820000,0,0
1424374880000,0,0
1424374940000,0,0
1424375000000,0,0
1424375060000,0,0
1424375120000,0,0
1424375180000,0,0
1424375240000,0,0
1424375300000,0,0
1424375360000,0,0
1424375420000,0,0
1424375480000,0,0
1424375540000,0,0
1424375600000,0,0
1424375660000,0,0
1424375720000,0,0
1424375780000,0,0
1424375840000,0,0
1424375900000,0,0
1424375960000,0,0
1424376020000,0,0
1424376080000,0,0
1424376140000,0,0
1424376200000,0,0
1424376260000,0,0
1424376320000,0,0
1424376380000,0,0
1424376440000,0,0
1424376500000,0,0
1424376560000,0,0
