timestamp_ms,idle,steal,sys,user,wait
1424373920000,96,0,0,0,3
1424373980000,87,0,1,1,12
1424374040000,86,0,1,1,12
1424374100000,86,0,1,1,13
1424374160000,86,0,1,1,12
1424374220000,86,0,1,1,12
1424374280000,84,0,1,1,14
1424374340000,86,0,1,1,13
1424374400000,86,0,1,1,12
1424374460000,85,0,1,1,13
1424374520000,85,0,1,1,13
1424374580000,84,0,1,1,14
1424374640000,85,0,1,1,13
1424374700000,86,0,1,1,12
1424374760000,85,0,1,1,13
1424374820000,85,0,1,1,13
1424374880000,86,0,1,1,12
1424374940000,85,0,1,1,13
1424375000000,86,0,1,1,13
1424375060000,84,0,1,1,14
1424375120000,86,0,1,1,13
1424375180000,84,0,1,1,14
1424375240000,86,0,1,1,12
1424375300000,86,0,1,1,12
1424375360000,85,0,1,1,13
1424375420000,86,0,1,1,12
1424375480000,87,0,1,1,11
1424375540000,87,0,1,1,11
1424375600000,86,0,1,1,13
1424375660000,85,0,1,1,13
1424375720000,85,0,1,1,13
1424375780000,85,0,1,1,13
1424375840000,86,0,1,1,12
1424375900000,86,0,1,1,12
1424375960000,85,0,1,1,13
1424376020000,86,0,1,1,13
1424376080000,86,0,1,1,12
1424376140000,85,0,1,1,13
1424376200000,84,0,1,1,14
1424376260000,86,0,1,1,12
1424376320000,86,0,1,1,12
1424376380000,86,0,1,1,12
1424376440000,85,0,1,1,13
1424376500000,85,0,1,1,14
1424376560000,85,0,1,1,13
