timestamp_ms,guest,idle,iowait,irq,nice,softirq,steal,sys,usr
1431993566000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1431993576000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1431993586000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1431993596000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1431993606000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1431993616000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1431993626000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1431993636000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1431993646000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1431993656000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
