timestamp_ms,heap_max_in_bytes,heap_used_in_bytes
1485174277486,1038876672,59920808
1485174280540,1038876672,82515528
1485174283549,1038876672,82515528
1485174286556,1038876672,83236632
1485174289616,1038876672,62697768
1485174292622,1038876672,61295760
1485174295628,1038876672,132595440
1485174298635,1038876672,137670144
1485174301642,1038876672,143714376
1485174304653,1038876672,152088504
1485174307661,1038876672,141616416
1485174310670,1038876672,155779048
1485174313718,1038876672,202611096
1485174316739,1038876672,105833528
1485174319776,1038876672,74366480
1485174322802,1038876672,144168080
1485174325816,1038876672,116365264
1485174328837,1038876672,140748056
1485174331867,1038876672,188692896
1485174334878,1038876672,65816800
1485174337892,1038876672,68613504
1485174340910,1038876672,74392592
1485174343937,2077753344,152310368
1485174346964,2077753344,198218016
1485174350020,2077753344,164835800
1485174353033,2077753344,285976224
1485174356144,2077753344,224493720
1485174359211,2077753344,255441744
1485174362233,2077753344,297324520
1485174365284,2077753344,307337096
1485174368552,2077753344,280601728
1485174371588,2077753344,213451696
1485174374651,2077753344,204929024
1485174377665,2077753344,278327584
1485174380715,2077753344,378788224
1485174383767,2077753344,268839696
1485174386931,2077753344,288014448
1485174389945,2077753344,277507752
1485174392962,2077753344,228672096
1485174395984,2077753344,234220720
1485174399024,2077753344,225188672
1485174402183,2077753344,302797344
1485174405284,2077753344,309940984
1485174408326,2077753344,314599448
1485174411559,2077753344,253844704
1485174414599,2077753344,194619600
1485174417676,2077753344,210844400
1485174421112,2077753344,291462864
1485174424193,2077753344,305689864
1485174427304,2077753344,214421808
1485174430471,2077753344,213884056
1485174433583,2077753344,254125816
1485174436599,2077753344,343488136
1485174439629,2077753344,228237224
1485174442675,2077753344,254499544
1485174445735,2077753344,251630312
1485174448747,2077753344,249152216
1485174451896,2077753344,275893000
1485174455014,2077753344,311633664
1485174458123,2077753344,299379208
1485174461219,2077753344,355154368
1485174464677,2077753344,258264864
1485174468425,2077753344,264258048
1485174471450,2077753344,302348336
1485174474652,2077753344,272314040
1485174477671,2077753344,315849768
1485174480683,2077753344,268383240
1485174483713,2077753344,210336768
1485174486727,2077753344,251187376
1485174489806,2077753344,290146936
1485174492825,2077753344,276767280
1485174496120,2077753344,305550080
