timestamp_ms,primaries,replication,total
1485174277486,,,
1485174280540,5,0,5
1485174283549,5,0,5
1485174286556,5,0,5
1485174289616,5,0,5
1485174292622,5,0,5
1485174295628,5,0,5
1485174298635,5,0,5
1485174301642,5,0,5
1485174304653,10,0,10
1485174307661,10,0,10
1485174310670,10,0,10
1485174313718,10,0,10
1485174316739,10,0,10
1485174319776,10,0,10
1485174322802,10,0,10
1485174325816,10,0,10
1485174328837,10,0,10
1485174331867,10,0,10
1485174334878,10,0,10
1485174337892,10,0,10
1485174340910,10,0,10
1485174343937,10,0,10
1485174346964,10,0,10
1485174350020,10,0.2,12
1485174353033,10,0.2,12
1485174356144,10,0.4,14
1485174359211,10,0.4,14
1485174362233,10,0.6,16
1485174365284,10,0.6,16
1485174368552,10,0.6,16
1485174371588,10,0.7,17
1485174374651,10,0.8,18
1485174377665,10,0.8,18
1485174380715,10,0.8,18
1485174383767,10,0.9,19
1485174386931,10,1,20
1485174389945,10,1,20
1485174392962,15,1,30
1485174395984,15,1,30
1485174399024,15,1,30
1485174402183,15,1,30
1485174405284,15,1,30
1485174408326,15,1,30
1485174411559,15,1,30
1485174414599,15,1,30
1485174417676,15,1,30
1485174421112,15,1,30
1485174424193,15,1,30
1485174427304,15,1,30
1485174430471,15,1,30
1485174433583,15,1,30
1485174436599,15,1,30
1485174439629,15,1,30
1485174442675,15,1,30
1485174445735,15,1,30
1485174448747,15,1,30
1485174451896,15,1,30
1485174455014,15,1,30
1485174458123,15,1,30
1485174461219,15,1,30
1485174464677,15,1,30
1485174468425,15,1,30
1485174471450,15,1,30
1485174474652,15,1,30
1485174477671,15,1,30
1485174480683,15,1,30
1485174483713,15,1,30
1485174486727,15,1,30
1485174489806,15,1,30
1485174492825,15,1,30
1485174496120,15,1,30
1485174499222,15,1,30
1485174502370,15,1,30
1485174505466,15,1,30
1485174508509,15,1,30
1485174511524,15,1,30
1485174514539,15,1,30
1485174517555,15,1,30
1485174520574,15,1,30
1485174523622,15,1,30
1485174527123,15,1,30
1485174530312,15,1,30
1485174533333,15,1,30
1485174536511,15,1,30
1485174539757,15,1,30
1485174543076,15,1,30
1485174546218,15,1,30
1485174549488,15,1,30
1485174553100,15,1,30
1485174556121,15,1,30
1485174559369,15,1,30
1485174562389,15,1,30
1485174565734,15,1,30
1485174568761,15,1,30
1485174572019,15,1,30
1485174575138,15,1,30
1485174578380,15,1,30
1485174581502,15,1,30
1485174584516,15,1,30
1485174587691,15,1,30
1485174590951,15,1,30
1485174594094,15,1,30
1485174597162,15,1,30
1485174600231,15,1,30
1485174603246,15,1,30
1485174606333,15,1,30
1485174609562,15,1,30
1485174613115,15,1,30
1485174616603,15,1,30
1485174619961,15,1,30
1485174623470,15,1,30
1485174626862,15,1,30
1485174630110,15,1,30
1485174633186,15,1,30
1485174636212,15,1,30
1485174641475,15,1,30
1485174644944,15,1,30
1485174647976,15,1,30
1485174651219,15,1,30
1485174654309,15,1,30
1485174657324,15,1,30
1485174660354,15,1,30
1485174663698,15,0.933333333333333,29
1485174666831,15,0.933333333333333,29
1485174669885,15,1,30
1485174672963,15,1,30
1485174676361,15,1,30
1485174679460,15,1,30
1485174682572,15,1,30
1485174685950,15,1,30
1485174689331,15,1,30
1485174692472,15,1,30
1485174695562,15,1,30
1485174699071,15,1,30
1485174702146,15,1,30
1485174706716,15,1,30
1485174709893,15,1,30
1485174712972,15,1,30
1485174716026,15,1,30
1485174719762,15,1,30
1485174722782,15,1,30
1485174725800,15,1,30
1485174729321,15,1,30
1485174732426,15,1,30
1485174735636,15,1,30
1485174738668,15,1,30
1485174742303,15,1,30
1485174745456,15,1,30
1485174748478,15,1,30
1485174751867,15,1,30
1485174755052,15,1,30
1485174758307,15,1,30
1485174761328,15,1,30
1485174764860,15,1,30
1485174768032,15,1,30
1485174771390,15,1,30
1485174774427,15,1,30
1485174777489,15,1,30
1485174780520,15,1,30
1485174783992,15,1,30
1485174788792,15,1,30
1485174791968,15,1,30
1485174795672,15,1,30
1485174798968,15,1,30
1485174802460,15,1,30
1485174805996,15,1,30
1485174809071,15,1,30
1485174812147,15,1,30
1485174815411,15,1,30
1485174819951,15,1,30
1485174823230,15,1,30
1485174826525,15,1,30
1485174831473,15,1,30
1485174834627,15,1,30
1485174837735,15,1,30
1485174840844,15,1,30
1485174844924,15,1,30
1485174848643,15,1,30
1485174851917,15,1,30
1485174855399,15,1,30
1485174858864,15,1,30
1485174861890,15,1,30
1485174866113,15,1,30
1485174870051,15,1,30
1485174873141,15,1,30
1485174876199,15,1,30
1485174880220,15,1,30
1485174883509,15,1,30
1485174887150,15,1,30
1485174890980,15,1,30
1485174894264,15,1,30
1485174897949,15,1,30
1485174901851,15,1,30
1485174905161,15,1,30
1485174908671,15,1,30
1485174912559,15,1,30
1485174915951,15,1,30
1485174919269,15,1,30
1485174922366,15,1,30
1485174925445,15,1,30
1485174928720,15,1,30
1485174931800,15,1,30
1485174936219,15,1,30
1485174939240,15,1,30
1485174942552,15,1,30
1485174945855,15,1,30
1485174949060,15,1,30
1485174952234,15,1,30
1485174955653,15,1,30
1485174959436,15,1,30
1485174962541,15,1,30
1485174966053,15,1,30
1485174969809,15,1,30
1485174972877,15,1,30
1485174976257,15,1,30
1485174980471,15,1,30
1485174983674,15,1,30
1485174987021,15,1,30
1485174990719,15,1,30
1485174993831,15,1,30
1485174997107,15,1,30
1485175001194,15,1,30
1485175004454,15,1,30
1485175007476,15,1,30
1485175011968,15,1,30
1485175015076,15,1,30
1485175019611,15,1,30
1485175023118,15,1,30
1485175026225,15,1,30
1485175029864,15,1,30
1485175033800,15,1,30
1485175036962,15,1,30
1485175040704,15,1,30
1485175044896,15,1,30
1485175048223,15,1,30
1485175051864,15,1,30
1485175055729,15,1,30
1485175059188,15,1,30
1485175062475,15,1,30
1485175066312,15,1,30
1485175069558,15,1,30
1485175072744,15,1,30
1485175076818,15,1,30
1485175080690,15,1,30
1485175083748,15,1,30
1485175087168,15,1,30
1485175090580,15,1,30
1485175093674,15,1,30
1485175097660,15,1,30
1485175100763,15,1,30
1485175106374,15,1,30
1485175109397,15,1,30
1485175112821,15,1,30
1485175116516,15,1,30
1485175119533,15,1,30
1485175122610,15,1,30
1485175125825,15,1,30
1485175129598,15,1,30
1485175132617,15,1,30
1485175135675,15,1,30
1485175138691,15,1,30
1485175143750,15,1,30
1485175147204,15,1,30
1485175151307,15,1,30
1485175154464,15,1,30
1485175157863,15,1,30
1485175161711,15,1,30
1485175164737,15,1,30
1485175168063,15,1,30
1485175172018,15,1,30
1485175175122,15,1,30
1485175178511,15,1,30
1485175182875,15,1,30
1485175186909,15,1,30
1485175190004,15,1,30
1485175193954,15,1,30
1485175197040,15,1,30
1485175200639,15,1,30
1485175204772,15,1,30
1485175207784,15,1,30
1485175210846,15,1,30
1485175214123,15,1,30
1485175217563,15,1,30
1485175220702,15,1,30
1485175223716,15,1,30
1485175226802,15,1,30
1485175229964,15,1,30
1485175232988,15,1,30
1485175236084,15,1,30
1485175239574,15,1,30
1485175243078,15,1,30
1485175246417,15,1,30
1485175250126,15,1,30
1485175253657,15,1,30
1485175257106,15,1,30
1485175261428,15,1,30
1485175264973,15,1,30
1485175267991,15,1,30
1485175271403,15,1,30
1485175274455,15,1,30
1485175277551,15,1,30
1485175280590,15,1,30
1485175283651,15,1,30
1485175286746,15,1,30
1485175290123,15,1,30
1485175293719,15,1,30
1485175297033,15,1,30
1485175300775,15,1,30
1485175304335,15,1,30
1485175307777,15,1,30
1485175310953,15,1,30
1485175314632,15,1,30
1485175318280,15,1,30
1485175321546,15,1,30
1485175324974,15,1,30
1485175328156,15,1,30
1485175331854,15,1,30
1485175335555,15,1,30
1485175338873,15,1,30
1485175342125,15,1,30
1485175345296,15,1,30
1485175348350,15,1,30
1485175352854,15,1,30
