timestamp_ms,mem_in_bytes
1485174277486,5797376000
1485174280540,5770412032
1485174283549,5166272512
1485174286556,5023301632
1485174289616,4999245824
1485174292622,4987105280
1485174295628,4980031488
1485174298635,4976816128
1485174301642,4952092672
1485174304653,4478939136
1485174307661,4167753728
1485174310670,4169752576
1485174313718,4141166592
1485174316739,4131008512
1485174319776,4126990336
1485174322802,4085501952
1485174325816,4077539328
1485174328837,4074921984
1485174331867,3673837568
1485174334878,3645734912
1485174337892,3572461568
1485174340910,3544887296
1485174343937,3512762368
1485174346964,3505553408
1485174350020,3489505280
1485174353033,3459780608
1485174356144,3434237952
1485174359211,3417104384
1485174362233,3375939584
1485174365284,3337158656
1485174368552,3307675648
1485174371588,3299991552
1485174374651,3281178624
1485174377665,3243008000
1485174380715,3214974976
1485174383767,3212816384
1485174386931,3200421888
1485174389945,3183558656
1485174392962,3071291392
1485174395984,2633093120
1485174399024,2406862848
1485174402183,2387243008
1485174405284,2362572800
1485174408326,2344194048
1485174411559,2317307904
1485174414599,2306260992
1485174417676,2287181824
1485174421112,2268778496
1485174424193,2244009984
1485174427304,2222419968
1485174430471,2212462592
1485174433583,2178781184
1485174436599,2167873536
1485174439629,2141466624
1485174442675,1808171008
1485174445735,1763225600
1485174448747,1722355712
1485174451896,1694212096
1485174455014,1656676352
1485174458123,1639104512
1485174461219,1633476608
1485174464677,1631870976
1485174468425,1601257472
1485174471450,1571713024
1485174474652,1572585472
1485174477671,1561325568
1485174480683,1539215360
1485174483713,1522937856
1485174486727,1496408064
1485174489806,1461260288
1485174492825,1441488896
1485174496120,1394163712
1485174499222,1385005056
1485174502370,1361719296
1485174505466,1320071168
1485174508509,1308798976
1485174511524,1314353152
1485174514539,1316241408
1485174517555,1300705280
1485174520574,1265692672
1485174523622,1251147776
1485174527123,1232658432
1485174530312,1198862336
1485174533333,1180209152
1485174536511,1166487552
1485174539757,1151827968
1485174543076,1138323456
1485174546218,1119641600
1485174549488,1099325440
1485174553100,1091039232
1485174556121,1076211712
1485174559369,1063616512
1485174562389,1047609344
1485174565734,1048829952
1485174568761,1033441280
1485174572019,1016307712
1485174575138,985104384
1485174578380,980406272
1485174581502,968192000
1485174584516,969981952
1485174587691,966103040
1485174590951,981995520
1485174594094,962564096
1485174597162,939479040
1485174600231,923258880
1485174603246,916811776
1485174606333,917385216
1485174609562,915922944
1485174613115,884396032
1485174616603,848818176
1485174619961,820854784
1485174623470,811823104
1485174626862,790544384
1485174630110,775446528
1485174633186,760225792
1485174636212,763543552
1485174641475,741298176
1485174644944,737669120
1485174647976,738746368
1485174651219,732667904
1485174654309,717778944
1485174657324,711753728
1485174660354,700596224
1485174663698,695824384
1485174666831,690696192
1485174669885,677539840
1485174672963,693268480
1485174676361,678129664
1485174679460,672624640
1485174682572,656691200
1485174685950,643002368
1485174689331,626577408
1485174692472,607293440
1485174695562,585216000
1485174699071,566276096
1485174702146,550678528
1485174706716,532684800
1485174709893,485625856
1485174712972,468488192
1485174716026,446763008
1485174719762,438808576
1485174722782,430882816
1485174725800,406683648
1485174729321,371212288
1485174732426,356102144
1485174735636,339734528
1485174738668,321818624
1485174742303,303181824
1485174745456,285298688
1485174748478,281427968
1485174751867,277303296
1485174755052,242958336
1485174758307,224804864
1485174761328,218218496
1485174764860,200888320
1485174768032,188809216
1485174771390,159973376
1485174774427,188952576
1485174777489,190844928
1485174780520,209068032
1485174783992,200351744
1485174788792,203321344
1485174791968,192159744
1485174795672,187703296
1485174798968,169943040
1485174802460,161517568
1485174805996,150622208
1485174809071,131158016
1485174812147,148385792
1485174815411,127295488
1485174819951,140365824
1485174823230,148529152
1485174826525,129261568
1485174831473,128737280
1485174834627,142417920
1485174837735,154562560
1485174840844,146980864
1485174844924,134246400
1485174848643,141615104
1485174851917,128143360
1485174855399,138838016
1485174858864,184504320
1485174861890,161550336
1485174866113,141410304
1485174870051,126156800
1485174873141,164814848
1485174876199,142712832
1485174880220,130220032
1485174883509,156864512
1485174887150,135368704
1485174890980,136249344
1485174894264,120823808
1485174897949,130355200
1485174901851,151851008
1485174905161,172912640
1485174908671,164962304
1485174912559,142581760
1485174915951,163749888
1485174919269,148983808
1485174922366,151289856
1485174925445,148258816
1485174928720,126631936
1485174931800,146739200
1485174936219,122499072
1485174939240,131239936
1485174942552,128241664
1485174945855,125702144
1485174949060,152514560
1485174952234,151035904
1485174955653,144318464
1485174959436,170840064
1485174962541,186241024
1485174966053,165765120
1485174969809,145612800
1485174972877,126255104
1485174976257,185962496
1485174980471,178651136
1485174983674,182124544
1485174987021,161075200
1485174990719,126980096
1485174993831,139472896
1485174997107,123981824
1485175001194,134180864
1485175004454,152928256
1485175007476,135360512
1485175011968,146247680
1485175015076,143339520
1485175019611,134668288
1485175023118,145567744
1485175026225,122327040
1485175029864,139440128
1485175033800,138039296
1485175036962,153374720
1485175040704,146726912
1485175044896,139141120
1485175048223,143519744
1485175051864,125734912
1485175055729,126091264
1485175059188,134283264
1485175062475,139558912
1485175066312,134352896
1485175069558,168509440
1485175072744,168099840
1485175076818,149839872
1485175080690,122953728
1485175083748,157147136
1485175087168,148275200
1485175090580,130957312
1485175093674,142954496
1485175097660,154193920
1485175100763,143020032
1485175106374,146788352
1485175109397,127070208
1485175112821,144130048
1485175116516,134529024
1485175119533,150196224
1485175122610,155701248
1485175125825,129605632
1485175129598,141778944
1485175132617,123645952
1485175135675,141860864
1485175138691,128086016
1485175143750,130469888
1485175147204,140873728
1485175151307,141508608
1485175154464,135507968
1485175157863,155471872
1485175161711,129781760
1485175164737,133701632
1485175168063,126619648
1485175172018,155168768
1485175175122,141705216
1485175178511,127131648
1485175182875,139268096
1485175186909,132468736
1485175190004,134078464
1485175193954,152199168
1485175197040,149225472
1485175200639,135229440
1485175204772,195366912
1485175207784,207958016
1485175210846,189489152
1485175214123,189571072
1485175217563,207884288
1485175220702,249769984
1485175223716,249675776
1485175226802,236027904
1485175229964,226299904
1485175232988,214220800
1485175236084,210968576
1485175239574,180047872
1485175243078,151416832
1485175246417,130674688
1485175250126,138366976
1485175253657,143994880
1485175257106,142729216
1485175261428,145604608
1485175264973,132575232
1485175267991,147308544
1485175271403,137621504
1485175274455,145850368
1485175277551,129757184
1485175280590,160100352
1485175283651,147345408
1485175286746,146317312
1485175290123,128372736
1485175293719,151388160
1485175297033,152756224
1485175300775,150269952
1485175304335,134230016
1485175307777,137117696
1485175310953,141049856
1485175314632,190316544
1485175318280,214605824
1485175321546,193224704
1485175324974,182820864
1485175328156,159600640
1485175331854,142917632
1485175335555,137068544
1485175338873,143708160
1485175342125,125718528
1485175345296,149463040
1485175348350,135774208
1485175352854,150110208
1485175356386,159014912
1485175359662,139104256
1485175362924,145522688
1485175365988,120807424
1485175369618,141148160
1485175374039,150716416
1485175377146,139337728
1485175380559,127913984
1485175384466,146870272
1485175387708,126738432
1485175391212,1256329216
1485175394826,1316052992
1485175398209,1286352896
1485175401675,1264439296
1485175405372,2498035712
1485175408483,2530467840
1485175411738,2546888704
1485175414868,2497384448
1485175417887,2461356032
1485175420927,2396209152
1485175424034,2373070848
1485175427219,2331148288
1485175430368,2330132480
1485175433549,2245869568
1485175436574,2162515968
1485175439830,2092208128
1485175443182,2040037376
1485175446260,1997926400
1485175449281,1956655104
1485175452466,1867231232
1485175455545,1962434560
1485175458615,2040209408
1485175461628,2202394624
1485175464651,2142543872
1485175467779,2193825792
1485175470799,2179096576
1485175473809,2178842624
1485175476852,2153598976
