timestamp_ms,throttle_time_in_millis
1485174277486,0
1485174280540,0
1485174283549,0
1485174286556,0
1485174289616,0
1485174292622,0
1485174295628,0
1485174298635,0
1485174301642,0
1485174304653,0
1485174307661,0
1485174310670,0
1485174313718,0
1485174316739,0
1485174319776,0
1485174322802,0
1485174325816,0
1485174328837,0
1485174331867,0
1485174334878,0
1485174337892,0
1485174340910,0
1485174343937,0
1485174346964,0
1485174350020,0
1485174353033,0
1485174356144,0
1485174359211,0
1485174362233,0
1485174365284,0
1485174368552,0
1485174371588,0
1485174374651,0
1485174377665,0
1485174380715,0
1485174383767,0
1485174386931,0
1485174389945,0
1485174392962,0
1485174395984,0
1485174399024,0
1485174402183,0
1485174405284,0
1485174408326,0
1485174411559,0
1485174414599,0
1485174417676,0
1485174421112,0
1485174424193,0
1485174427304,0
1485174430471,0
1485174433583,0
1485174436599,0
1485174439629,0
1485174442675,0
1485174445735,0
1485174448747,0
1485174451896,0
1485174455014,0
1485174458123,0
1485174461219,0
1485174464677,0
1485174468425,0
1485174471450,0
1485174474652,0
1485174477671,0
1485174480683,0
1485174483713,0
1485174486727,0
1485174489806,0
1485174492825,0
1485174496120,0
1485174499222,0
1485174502370,0
1485174505466,0
1485174508509,0
1485174511524,0
1485174514539,0
1485174517555,0
1485174520574,0
1485174523622,0
1485174527123,0
1485174530312,0
1485174533333,0
1485174536511,0
1485174539757,0
1485174543076,0
1485174546218,0
1485174549488,0
1485174553100,0
1485174556121,0
1485174559369,0
1485174562389,0
1485174565734,0
1485174568761,0
1485174572019,0
1485174575138,0
1485174578380,0
1485174581502,0
1485174584516,0
1485174587691,0
1485174590951,0
1485174594094,0
1485174597162,0
1485174600231,0
1485174603246,0
1485174606333,0
1485174609562,0
1485174613115,0
1485174616603,0
1485174619961,0
1485174623470,0
1485174626862,0
1485174630110,0
1485174633186,0
1485174636212,0
1485174641475,0
1485174644944,0
1485174647976,0
1485174651219,0
1485174654309,0
1485174657324,0
1485174660354,0
1485174663698,0
1485174666831,0
1485174669885,0
1485174672963,0
1485174676361,0
1485174679460,0
1485174682572,0
1485174685950,0
1485174689331,0
1485174692472,0
1485174695562,0
1485174699071,0
1485174702146,0
1485174706716,0
1485174709893,0
1485174712972,0
1485174716026,0
1485174719762,0
1485174722782,0
1485174725800,0
1485174729321,0
1485174732426,0
1485174735636,0
1485174738668,0
1485174742303,0
1485174745456,0
1485174748478,0
1485174751867,0
1485174755052,0
1485174758307,0
1485174761328,0
1485174764860,0
1485174768032,0
1485174771390,0
1485174774427,0
1485174777489,0
1485174780520,0
1485174783992,0
1485174788792,0
1485174791968,0
1485174795672,0
1485174798968,0
1485174802460,0
1485174805996,0
1485174809071,0
1485174812147,0
1485174815411,0
1485174819951,0
1485174823230,0
1485174826525,0
1485174831473,0
1485174834627,0
1485174837735,0
1485174840844,0
1485174844924,0
1485174848643,0
1485174851917,0
1485174855399,0
1485174858864,0
1485174861890,0
1485174866113,0
1485174870051,0
1485174873141,0
1485174876199,0
1485174880220,0
1485174883509,0
1485174887150,0
1485174890980,0
1485174894264,0
1485174897949,0
1485174901851,0
1485174905161,0
1485174908671,0
1485174912559,0
1485174915951,0
1485174919269,0
1485174922366,0
1485174925445,0
1485174928720,0
1485174931800,0
1485174936219,0
1485174939240,0
1485174942552,0
1485174945855,0
1485174949060,0
1485174952234,0
1485174955653,0
1485174959436,0
1485174962541,0
1485174966053,0
1485174969809,0
1485174972877,0
1485174976257,0
1485174980471,0
1485174983674,0
1485174987021,0
1485174990719,0
1485174993831,0
1485174997107,0
1485175001194,0
1485175004454,0
1485175007476,0
1485175011968,0
1485175015076,0
1485175019611,0
1485175023118,0
1485175026225,0
1485175029864,0
1485175033800,0
1485175036962,0
1485175040704,0
1485175044896,0
1485175048223,0
1485175051864,0
1485175055729,0
1485175059188,0
1485175062475,0
1485175066312,0
1485175069558,0
1485175072744,0
1485175076818,0
1485175080690,0
1485175083748,0
1485175087168,0
1485175090580,0
1485175093674,0
1485175097660,0
1485175100763,0
1485175106374,0
1485175109397,0
1485175112821,0
1485175116516,0
1485175119533,0
1485175122610,0
1485175125825,0
1485175129598,0
1485175132617,0
1485175135675,0
1485175138691,0
1485175143750,0
1485175147204,0
1485175151307,0
1485175154464,0
1485175157863,0
1485175161711,0
1485175164737,0
1485175168063,0
1485175172018,0
1485175175122,0
1485175178511,0
1485175182875,0
1485175186909,0
1485175190004,0
1485175193954,0
1485175197040,0
1485175200639,0
1485175204772,0
1485175207784,0
1485175210846,0
1485175214123,0
1485175217563,0
1485175220702,0
1485175223716,0
1485175226802,0
1485175229964,0
1485175232988,0
1485175236084,0
1485175239574,0
1485175243078,0
1485175246417,0
1485175250126,0
1485175253657,0
1485175257106,0
1485175261428,0
1485175264973,0
1485175267991,0
1485175271403,0
1485175274455,0
1485175277551,0
1485175280590,0
1485175283651,0
1485175286746,0
1485175290123,0
1485175293719,0
1485175297033,0
1485175300775,0
1485175304335,0
1485175307777,0
1485175310953,0
1485175314632,0
1485175318280,0
1485175321546,0
1485175324974,0
1485175328156,0
1485175331854,0
1485175335555,0
1485175338873,0
1485175342125,0
1485175345296,0
1485175348350,0
1485175352854,0
1485175356386,0
1485175359662,0
1485175362924,0
1485175365988,0
1485175369618,0
1485175374039,0
1485175377146,0
1485175380559,0
1485175384466,0
1485175387708,0
1485175391212,0
1485175394826,0
1485175398209,0
1485175401675,0
1485175405372,0
1485175408483,0
1485175411738,0
1485175414868,0
1485175417887,0
1485175420927,0
1485175424034,0
1485175427219,0
1485175430368,0
1485175433549,0
1485175436574,0
1485175439830,0
1485175443182,0
1485175446260,0
1485175449281,0
1485175452466,0
1485175455545,0
1485175458615,0
1485175461628,0
1485175464651,0
1485175467779,0
1485175470799,0
1485175473809,0
1485175476852,0
