timestamp_ms,count,deleted
1485174277486,0,0
1485174280540,0,0
1485174283549,0,0
1485174286556,0,0
1485174289616,22,0
1485174292622,193,0
1485174295628,278,0
1485174298635,356,0
1485174301642,514,0
1485174304653,514,0
1485174307661,711,0
1485174310670,720,0
1485174313718,789,0
1485174316739,1150,0
1485174319776,1174,0
1485174322802,1361,0
1485174325816,1489,0
1485174328837,1489,0
1485174331867,1674,0
1485174334878,1815,0
1485174337892,1815,0
1485174340910,2021,0
1485174343937,2296,0
1485174346964,2296,0
1485174350020,2305,0
1485174353033,2533,0
1485174356144,2777,0
1485174359211,2777,0
1485174362233,2777,0
1485174365284,2953,0
1485174368552,3093,0
1485174371588,3145,0
1485174374651,3145,0
1485174377665,3308,0
1485174380715,3519,0
1485174383767,3554,0
1485174386931,3812,0
1485174389945,3923,0
1485174392962,4006,0
1485174395984,4006,0
1485174399024,4083,0
1485174402183,4250,0
1485174405284,4267,0
1485174408326,4367,0
1485174411559,4396,0
1485174414599,4453,0
1485174417676,4569,0
1485174421112,4675,0
1485174424193,4727,0
1485174427304,4793,0
1485174430471,4851,0
1485174433583,4924,0
1485174436599,5059,0
1485174439629,5185,0
1485174442675,5339,0
1485174445735,5403,0
1485174448747,5480,0
1485174451896,5521,0
1485174455014,5601,0
1485174458123,5731,0
1485174461219,5814,0
1485174464677,5882,0
1485174468425,6071,0
1485174471450,6139,0
1485174474652,6226,0
1485174477671,6310,0
1485174480683,6401,0
1485174483713,6502,0
1485174486727,6539,0
1485174489806,6663,0
1485174492825,6762,0
1485174496120,6868,0
1485174499222,6960,0
1485174502370,7154,0
1485174505466,7227,0
1485174508509,7274,0
1485174511524,7347,0
1485174514539,7465,0
1485174517555,7566,0
1485174520574,7633,0
1485174523622,7744,0
1485174527123,7785,0
1485174530312,7952,0
1485174533333,8036,0
1485174536511,8163,0
1485174539757,8216,0
1485174543076,8250,0
1485174546218,8378,0
1485174549488,8521,0
1485174553100,8634,0
1485174556121,8680,0
1485174559369,8773,0
1485174562389,8860,0
1485174565734,8936,0
1485174568761,9013,0
1485174572019,9163,0
1485174575138,9237,0
1485174578380,9290,0
1485174581502,9370,0
1485174584516,9513,0
1485174587691,9555,0
1485174590951,9748,0
1485174594094,9748,0
1485174597162,9889,0
1485174600231,9962,0
1485174603246,10073,0
1485174606333,10125,0
1485174609562,10221,0
1485174613115,10378,0
1485174616603,10378,0
1485174619961,10533,0
1485174623470,10687,0
1485174626862,10853,0
1485174630110,10853,0
1485174633186,11002,0
1485174636212,11002,0
1485174641475,11183,0
1485174644944,11332,0
1485174647976,11415,0
1485174651219,11518,0
1485174654309,11560,0
1485174657324,11700,0
1485174660354,11737,0
1485174663698,11816,0
1485174666831,11957,0
1485174669885,12022,0
1485174672963,12091,0
1485174676361,12262,0
1485174679460,12339,0
1485174682572,12523,0
1485174685950,12583,0
1485174689331,12670,0
1485174692472,12884,0
1485174695562,13004,0
1485174699071,13158,0
1485174702146,13278,0
1485174706716,13388,0
1485174709893,13533,0
1485174712972,13673,0
1485174716026,13673,0
1485174719762,13856,0
1485174722782,14008,0
1485174725800,14024,0
1485174729321,14174,0
1485174732426,14266,0
1485174735636,14400,0
1485174738668,14476,0
1485174742303,14627,0
1485174745456,14640,0
1485174748478,14805,0
1485174751867,14882,0
1485174755052,14943,0
1485174758307,15018,0
1485174761328,15127,0
1485174764860,15241,0
1485174768032,15297,0
1485174771390,15429,0
1485174774427,15476,0
1485174777489,15547,0
1485174780520,15602,0
