timestamp_ms,client,data_only,master_data,master_only,total
1485174277486,0,0,1,0,1
1485174280540,0,0,1,0,1
1485174283549,0,0,1,0,1
1485174286556,0,0,1,0,1
1485174289616,0,0,1,0,1
1485174292622,0,0,1,0,1
1485174295628,0,0,1,0,1
1485174298635,0,0,1,0,1
1485174301642,0,0,1,0,1
1485174304653,0,0,1,0,1
1485174307661,0,0,1,0,1
1485174310670,0,0,1,0,1
1485174313718,0,0,1,0,1
1485174316739,0,0,1,0,1
1485174319776,0,0,1,0,1
1485174322802,0,0,1,0,1
1485174325816,0,0,1,0,1
1485174328837,0,0,1,0,1
1485174331867,0,0,1,0,1
1485174334878,0,0,1,0,1
1485174337892,0,0,1,0,1
1485174340910,0,0,1,0,1
1485174343937,0,0,2,0,2
1485174346964,0,0,2,0,2
1485174350020,0,0,2,0,2
1485174353033,0,0,2,0,2
1485174356144,0,0,2,0,2
1485174359211,0,0,2,0,2
1485174362233,0,0,2,0,2
1485174365284,0,0,2,0,2
1485174368552,0,0,2,0,2
1485174371588,0,0,2,0,2
1485174374651,0,0,2,0,2
1485174377665,0,0,2,0,2
1485174380715,0,0,2,0,2
1485174383767,0,0,2,0,2
1485174386931,0,0,2,0,2
1485174389945,0,0,2,0,2
1485174392962,0,0,2,0,2
1485174395984,0,0,2,0,2
1485174399024,0,0,2,0,2
1485174402183,0,0,2,0,2
1485174405284,0,0,2,0,2
1485174408326,0,0,2,0,2
1485174411559,0,0,2,0,2
1485174414599,0,0,2,0,2
1485174417676,0,0,2,0,2
1485174421112,0,0,2,0,2
1485174424193,0,0,2,0,2
1485174427304,0,0,2,0,2
1485174430471,0,0,2,0,2
1485174433583,0,0,2,0,2
1485174436599,0,0,2,0,2
1485174439629,0,0,2,0,2
1485174442675,0,0,2,0,2
1485174445735,0,0,2,0,2
1485174448747,0,0,2,0,2
1485174451896,0,0,2,0,2
1485174455014,0,0,2,0,2
1485174458123,0,0,2,0,2
1485174461219,0,0,2,0,2
1485174464677,0,0,2,0,2
1485174468425,0,0,2,0,2
1485174471450,0,0,2,0,2
1485174474652,0,0,2,0,2
1485174477671,0,0,2,0,2
1485174480683,0,0,2,0,2
1485174483713,0,0,2,0,2
1485174486727,0,0,2,0,2
1485174489806,0,0,2,0,2
1485174492825,0,0,2,0,2
1485174496120,0,0,2,0,2
1485174499222,0,0,2,0,2
1485174502370,0,0,2,0,2
1485174505466,0,0,2,0,2
1485174508509,0,0,2,0,2
1485174511524,0,0,2,0,2
1485174514539,0,0,2,0,2
1485174517555,0,0,2,0,2
1485174520574,0,0,3,0,3
1485174523622,0,0,3,0,3
1485174527123,0,0,3,0,3
1485174530312,0,0,3,0,3
1485174533333,0,0,3,0,3
1485174536511,0,0,3,0,3
1485174539757,0,0,3,0,3
1485174543076,0,0,3,0,3
1485174546218,0,0,3,0,3
1485174549488,0,0,3,0,3
1485174553100,0,0,3,0,3
1485174556121,0,0,3,0,3
1485174559369,0,0,3,0,3
1485174562389,0,0,3,0,3
1485174565734,0,0,3,0,3
1485174568761,0,0,3,0,3
1485174572019,0,0,3,0,3
1485174575138,0,0,3,0,3
1485174578380,0,0,3,0,3
1485174581502,0,0,3,0,3
1485174584516,0,0,3,0,3
1485174587691,0,0,3,0,3
1485174590951,0,0,3,0,3
1485174594094,0,0,3,0,3
1485174597162,0,0,3,0,3
1485174600231,0,0,3,0,3
1485174603246,0,0,3,0,3
1485174606333,0,0,3,0,3
1485174609562,0,0,3,0,3
1485174613115,0,0,3,0,3
1485174616603,0,0,3,0,3
1485174619961,0,0,3,0,3
1485174623470,0,0,3,0,3
1485174626862,0,0,3,0,3
1485174630110,0,0,3,0,3
1485174633186,0,0,3,0,3
1485174636212,0,0,3,0,3
1485174641475,0,0,3,0,3
1485174644944,0,0,3,0,3
1485174647976,0,0,3,0,3
1485174651219,0,0,3,0,3
1485174654309,0,0,3,0,3
1485174657324,0,0,3,0,3
1485174660354,0,0,3,0,3
1485174663698,0,0,3,0,3
1485174666831,0,0,3,0,3
1485174669885,0,0,3,0,3
1485174672963,0,0,3,0,3
1485174676361,0,0,3,0,3
1485174679460,0,0,3,0,3
1485174682572,0,0,3,0,3
1485174685950,0,0,3,0,3
1485174689331,0,0,3,0,3
1485174692472,0,0,3,0,3
1485174695562,0,0,3,0,3
1485174699071,0,0,3,0,3
1485174702146,0,0,3,0,3
1485174706716,0,0,3,0,3
1485174709893,0,0,3,0,3
1485174712972,0,0,3,0,3
1485174716026,0,0,3,0,3
1485174719762,0,0,3,0,3
1485174722782,0,0,3,0,3
1485174725800,0,0,3,0,3
1485174729321,0,0,3,0,3
1485174732426,0,0,3,0,3
1485174735636,0,0,3,0,3
1485174738668,0,0,3,0,3
1485174742303,0,0,3,0,3
1485174745456,0,0,3,0,3
1485174748478,0,0,3,0,3
1485174751867,0,0,3,0,3
1485174755052,0,0,3,0,3
1485174758307,0,0,3,0,3
1485174761328,0,0,3,0,3
1485174764860,0,0,3,0,3
1485174768032,0,0,3,0,3
1485174771390,0,0,3,0,3
1485174774427,0,0,3,0,3
1485174777489,0,0,3,0,3
1485174780520,0,0,3,0,3
1485174783992,0,0,3,0,3
1485174788792,0,0,3,0,3
1485174791968,0,0,3,0,3
1485174795672,0,0,3,0,3
1485174798968,0,0,3,0,3
1485174802460,0,0,3,0,3
1485174805996,0,0,3,0,3
1485174809071,0,0,3,0,3
1485174812147,0,0,3,0,3
1485174815411,0,0,3,0,3
