timestamp_ms,max_uptime
1485174277486,9307
1485174280540,12360
1485174283549,15371
1485174286556,18378
1485174289616,21388
1485174292622,24444
1485174295628,27450
1485174298635,30457
1485174301642,33464
1485174304653,36473
1485174307661,39483
1485174310670,42490
1485174313718,45540
1485174316739,48560
1485174319776,51596
1485174322802,54624
1485174325816,57636
1485174328837,60658
1485174331867,63678
1485174334878,66699
1485174337892,69713
1485174340910,72725
1485174343937,75743
1485174346964,78771
1485174350020,81797
1485174353033,84852
1485174356144,87871
1485174359211,90978
1485174362233,94050
1485174365284,97073
1485174368552,100127
1485174371588,103408
1485174374651,106431
1485174377665,109486
1485174380715,112505
1485174383767,115547
1485174386931,118599
1485174389945,121762
1485174392962,124777
1485174395984,127792
1485174399024,130818
1485174402183,133862
1485174405284,137056
1485174408326,140128
1485174411559,143159
1485174414599,146390
1485174417676,149440
1485174421112,152590
1485174424193,156000
1485174427304,159068
1485174430471,162246
1485174433583,165381
1485174436599,168414
1485174439629,171443
1485174442675,174460
1485174445735,177195
1485174448747,180042
1485174451896,183368
1485174455014,186488
1485174458123,189235
1485174461219,192686
1485174464677,195839
1485174468425,199513
1485174471450,202570
1485174474652,206277
1485174477671,209427
1485174480683,212455
1485174483713,215534
1485174486727,218549
1485174489806,221565
1485174492825,223834
1485174496120,227684
1485174499222,231044
1485174502370,234057
1485174505466,237263
1485174508509,240296
1485174511524,243345
1485174514539,246361
1485174517555,249090
1485174520574,252185
1485174523622,255405
1485174527123,258827
1485174530312,261954
1485174533333,265151
1485174536511,268164
1485174539757,271559
1485174543076,274587
1485174546218,277834
1485174549488,281050
1485174553100,284521
1485174556121,287940
1485174559369,290959
1485174562389,294201
1485174565734,297224
1485174568761,300568
1485174572019,303596
1485174575138,306747
1485174578380,309941
1485174581502,313212
1485174584516,316301
1485174587691,319351
1485174590951,322550
1485174594094,325785
1485174597162,328936
1485174600231,332039
1485174603246,335065
1485174606333,337218
1485174609562,340236
1485174613115,343501
1485174616603,347950
1485174619961,351430
1485174623470,354796
1485174626862,358304
1485174630110,361693
1485174633186,364910
1485174636212,368021
1485174641475,373067
1485174644944,376380
1485174647976,379779
1485174651219,382813
1485174654309,386053
1485174657324,389143
1485174660354,392153
1485174663698,395197
1485174666831,398639
1485174669885,401670
1485174672963,404724
1485174676361,407895
1485174679460,411200
1485174682572,414302
1485174685950,417423
1485174689331,420875
1485174692472,424212
1485174695562,427310
1485174699071,430408
1485174702146,433917
1485174706716,437468
